ISIN;Issuer;Ask;Bid;Growth_1D;Growth_3Ds;Growth_1W;Growth_2W;Growth_4W;Growth_1D_Pct;Growth_3Ds_Pct;Growth_1W_Pct;Growth_2W_Pct;Growth_4W_Pct;Last_Update_DT;coupon;ex_date
NLBNPIT30150;bnp;100.55;99.55;-0.94;0.35;-1.03;-2.54;-1.78;-0.94;0.35;-1.02;-2.49;-1.76;2026-05-21 15:43:36;TBD;TBD
NLBNPIT300U7;bnp;94.56;93.56;0.54;1.57;2.47;1.22;N/A;0.58;1.71;2.71;1.32;N/A;2026-05-21 15:43:36;TBD;TBD
IT0006771353;marex;1025;1022.08;0.51;52.07;N/A;N/A;N/A;0.05;5.37;N/A;N/A;N/A;2026-04-22 15:00:40;TBD;TBD
NLBNPIT2T027;bnp;97.26;96.26;0.7;1.31;0.06;-1.25;-1.6;0.73;1.38;0.06;-1.28;-1.63;2026-05-21 15:43:36;TBD;TBD
NLBNPIT30382;bnp;96.03;95.03;-0.68;-0.02;2.56;4.76;2.61;-0.71;-0.02;2.77;5.27;2.82;2026-05-21 15:43:36;TBD;TBD
IT0006775404;marex;1006.94;996.93;5.58;5.37;-4.56;6.93;N/A;0.56;0.54;-0.46;0.7;N/A;2026-05-21 15:00:36;TBD;TBD
IT0006765983;marex;1029.78;1019.78;7.27;N/A;N/A;N/A;N/A;0.72;N/A;N/A;N/A;N/A;2026-02-10 18:26:37;TBD;TBD
NLBNPIT304S3;bnp;100.53;99.53;0.11;0.53;N/A;N/A;N/A;0.11;0.54;N/A;N/A;N/A;2026-05-21 15:43:36;TBD;TBD
NLBNPIT304E3;bnp;100.55;99.55;0.09;0.55;N/A;N/A;N/A;0.09;0.56;N/A;N/A;N/A;2026-05-21 15:43:36;TBD;TBD
IT0006770512;marex;999;989;1.53;2.96;-12.02;0.44;30.15;0.15;0.3;-1.2;0.04;3.14;2026-05-21 15:43:50;TBD;TBD
IT0006772062;marex;992.53;982.53;2.53;-1.41;-4.47;12.32;60.31;0.26;-0.14;-0.45;1.27;6.54;2026-05-21 15:43:50;TBD;TBD
NLBNPIT21T57;bnp;95.56;94.56;0.5;-0.04;-0.75;N/A;N/A;0.53;-0.04;-0.79;N/A;N/A;2026-05-21 15:43:36;TBD;TBD
NLBNPIT304J2;bnp;100.38;99.38;-0.03;0.38;N/A;N/A;N/A;-0.03;0.38;N/A;N/A;N/A;2026-05-21 15:43:36;TBD;TBD
NLBNPIT304N4;bnp;100.6;99.6;-0.22;0.6;N/A;N/A;N/A;-0.22;0.61;N/A;N/A;N/A;2026-05-21 15:43:36;TBD;TBD
CH1550424928;leonteq;977.36;967.36;3.05;10.62;10.46;-19.45;N/A;0.32;1.11;1.09;-1.97;N/A;2026-05-21 15:00:36;TBD;TBD
XS3191926545;bnp;94.64;93.64;0.27;N/A;N/A;N/A;N/A;0.29;N/A;N/A;N/A;N/A;2026-02-20 13:53:00;TBD;TBD
it0006772583;marex;1012.99;1002.99;9.94;1.96;-3.77;-9.84;33.5;1;0.2;-0.37;-0.97;3.46;2026-05-21 15:43:50;TBD;TBD
NLBNPIT30358;bnp;103.46;102.46;0.1;1.33;0.84;1.8;0.16;0.1;1.32;0.83;1.79;0.16;2026-05-21 15:43:36;TBD;TBD
NLBNPIT303O4;bnp;101.3;100.3;-0.26;-0.15;-1.64;0.14;0.46;-0.26;-0.15;-1.61;0.14;0.46;2026-05-21 15:43:36;TBD;TBD
CH1550424647;leonteq;982.83;972.83;3.72;16.79;9.97;-0.3;N/A;0.38;1.76;1.04;-0.03;N/A;2026-05-21 15:00:36;TBD;TBD
NLBNPIT303S5;bnp;104.55;103.55;-0.01;0.15;-0.16;-0.08;N/A;-0.01;0.15;-0.15;-0.08;N/A;2026-05-21 15:43:36;TBD;TBD
NLBNPIT302Y5;bnp;110.17;109.17;-0.02;-0.04;-0.51;0.2;2.54;-0.02;-0.04;-0.46;0.18;2.38;2026-05-21 15:43:36;TBD;TBD
NLBNPIT303D7;bnp;99.5;98.5;0.24;0.6;-0.88;-1.16;0.78;0.24;0.61;-0.89;-1.16;0.8;2026-05-21 15:43:36;TBD;TBD
NLBNPIT303P1;bnp;101.64;100.64;0.27;1.19;-0.19;1.15;0.78;0.27;1.2;-0.19;1.16;0.78;2026-05-21 15:43:36;TBD;TBD
NLBNPIT304P9;bnp;101.18;100.18;0.47;1.18;N/A;N/A;N/A;0.47;1.19;N/A;N/A;N/A;2026-05-21 15:43:36;TBD;TBD
CH1550425057;leonteq;1007.54;997.54;-3.87;-9.57;N/A;N/A;N/A;-0.39;-0.95;N/A;N/A;N/A;2026-05-11 15:01:02;TBD;TBD
NLBNPIT2XBR3;bnp;96.69;95.69;0.8;1.9;0.89;N/A;N/A;0.84;2.03;0.94;N/A;N/A;2026-05-21 15:43:36;TBD;TBD
NLBNPIT2HHH4;bnp;93.57;92.57;1.47;1.68;0.54;-1.45;-1.19;1.61;1.85;0.59;-1.54;-1.27;2026-05-21 15:43:36;TBD;TBD
NLBNPIT303G0;bnp;100.22;99.22;-0.1;-0.48;-1.37;-0.23;2.61;-0.1;-0.48;-1.36;-0.23;2.7;2026-05-21 15:43:36;TBD;TBD
it0006771353;marex;1026.8;1016.8;-0.49;-0.59;1.8;69.6;51.55;-0.05;-0.06;0.18;7.35;5.34;2026-04-23 11:48:24;TBD;TBD
CH1550421528;leonteq;1055.26;1045.26;1.96;7.22;3.59;-4.56;N/A;0.19;0.7;0.34;-0.43;N/A;2026-05-21 15:00:36;TBD;TBD
CH1550422195;leonteq;1006.01;996.01;1.67;3.03;10.39;-2.79;N/A;0.17;0.31;1.05;-0.28;N/A;2026-05-21 15:00:36;TBD;TBD
NLBNPIT30309;bnp;109.03;108.03;0.39;0.62;0.71;0.73;2.49;0.36;0.58;0.66;0.68;2.36;2026-05-21 15:43:36;TBD;TBD
