isin;name;ask;bid;currency;dt
NLBNPIT303N6;Coherent Leonardo Rheinmetall,89.08,0.00,EUR,2026-06-30-12-08-42
NLBNPIT304Q7,Alphabet | Microsoft | C3.AI - Coupon: 1.6% (19.80% p.a.) - Barrier: 45%,97.15,0.00,EUR,2026-06-30-12-08-42
NLBNPIT30150,Coherent Leonardo Thales Premi Fissi Cash Collect Callable,94.79,0.00,EUR,2026-06-30-12-08-42
NLBNPIT304J2,Enel | Poste Italiane | Leonardo - Coupon: 0.98% (11.76% p.a.) - Barrier: 60%,100.05,0.00,EUR,2026-06-30-12-08-42
NLBNPIT302Y5,Banca MPS Banco BPM Bper Banca Unicredit Protection Booster Cash Collect,111.56,0.00,EUR,2026-06-30-12-08-42
NLBNPIT304E3,Intesa Sanpaolo | Banco BPM - Coupon: 0.9% (10.80% p.a.) - Barrier: 60%,101.24,0.00,EUR,2026-06-30-12-08-42
NLBNPIT21TB7,Step-Down Cash Collect Kla Corp C3.AI Uipath,50.86,0.00,EUR,2026-06-30-12-08-42
NLBNPIT303O4,Banca MPS Siemens Energy Stellantis STMicroelectronics,97.52,0.00,EUR,2026-06-30-12-08-42
NLBNPIT300T9,Tesla Step-Down Cash Collect,97.68,0.00,EUR,2026-06-30-12-08-42
NLBNPIT2SP93,AMD Google Amazon Meta Premi Fissi Cash Collect 11% 03-06,95.88,0.00,EUR,2026-06-30-12-08-42
NLBNPIT304D5,Banca MPS | Intesa Sanpaolo | Banco BPM - Coupon: 1.10% (13.20% p.a.) - Barrier: 55%,102.38,0.00,EUR,2026-06-30-12-08-42
NLBNPIT300U7,Palantir Technologies Step-Down Cash Collect,85.38,0.00,EUR,2026-06-30-12-08-42
NLBNPIT303D7,Bper Intesa Sanpaolo,101.02,0.00,EUR,2026-06-30-12-08-42
NLBNPIT30374,Boeing Rheinmetall Leonardo Thales,83.08,0.00,EUR,2026-06-30-12-08-42
NLBNPIT30309,Banca MPS BBVA Caixabank Societe Generale Protection Booster Cash Collect,110.94,0.00,EUR,2026-06-30-12-08-42
NLBNPIT303A3,Nvidia Intel Tesla Meta,110.85,0.00,EUR,2026-06-30-12-08-42
NLBNPIT303G0,Banca MPS Banco BPM Bper Unicredit,101.58,0.00,EUR,2026-06-30-12-08-42
NLBNPIT2EPV5,Amazon Meta MSFT Nvidia Premi Fissi Cash Collect 11% 13-05,93.26,0.00,EUR,2026-06-30-12-08-42
NLBNPIT304N4,ASML Holdings | Stellantis | CommerzBank | Siemens Energy - Coupon: 1.65% (19.80% p.a.) - Barrier: 45%,97.57,0.00,EUR,2026-06-30-12-08-42
NLBNPIT303F2,Azimut Banca MPS Fineco Unicredit,102.97,0.00,EUR,2026-06-30-12-08-42
NLBNPIT30382,BP PLC Equinor Repsol TotalEnergies Protection Booster Cash Collect,88.11,0.00,EUR,2026-06-30-12-08-42
NLBNPIT303M8,Assicurazioni Generali Unipol Zurich Insurance Axa,103.48,0.00,EUR,2026-06-30-12-08-42
NLBNPIT302W9,Intesa Sanpaolo Unicredit,104.74,0.00,EUR,2026-06-30-12-08-42
NLBNPIT30358,A2A Engie Veolia E.on,106.12,0.00,EUR,2026-06-30-12-08-42
NLBNPIT30341,Generali Swiss Re Scor Unipol Assicurazioni Protection Booster Cash Collect,107.93,0.00,EUR,2026-06-30-12-08-42
NLBNPIT21T57,Mercedes Ford Tesla Step-Down Cash Collect,89.32,0.00,EUR,2026-06-30-12-08-42
NLBNPIT303S5,AMD Dell Meta,102.78,0.00,EUR,2026-06-30-12-08-42
NLBNPIT303I6,Allianz Assicurazioni Generali Intesa Sanpaolo Unicredit,102.71,0.00,EUR,2026-06-30-12-08-42
NLBNPIT303C9,Unicredit Intesa Sanpaolo Banco BPM,102.90,0.00,EUR,2026-06-30-12-08-42
NLBNPIT303E5,Banca MPS Santander,103.71,0.00,EUR,2026-06-30-12-08-42
NLBNPIT303P1,BP PLC TotalEnergies Equinor Repsol,102.73,0.00,EUR,2026-06-30-12-08-42
NLBNPIT302Z2,Intesa Sanpaolo Santander The Goldman Sachs Morgan Stanley,105.89,0.00,EUR,2026-06-30-12-08-42
