certificate_isin;certificate_name;stock_name;stock_google_finance_ticker;stock_exchange;stock_isin;stock_industry;stock_sector
DE000VH68M19;Multi Cash Collect Certificate con Barriera su D-Wave Quantum Inc., IonQ Inc., Rigetti Computing Inc.;D-Wave Quantum Inc.;NYSE:QBTS;NYSE;US26740W1099;Quantum Computing;Technology
DE000VH68M19;Multi Cash Collect Certificate con Barriera su D-Wave Quantum Inc., IonQ Inc., Rigetti Computing Inc.;IonQ Inc.;NYSE:IONQ;NYSE;US46222L1089;Quantum Computing;Technology
DE000VH68M19;Multi Cash Collect Certificate con Barriera su D-Wave Quantum Inc., IonQ Inc., Rigetti Computing Inc.;Rigetti Computing Inc.;NASDAQ:RGTI;NASDAQ;US76655K1034;Quantum Computing;Technology
DE000VJ41289;Memory Cash Collect Express Certificate su Banca Popolare dell'Emilia Romagna, Banco BPM, Commerzbank, Monte dei Paschi di Siena;BPER Banca S.p.A.;BIT:BPE;BIT;IT0000066123;Banking;Financials
DE000VJ41289;Memory Cash Collect Express Certificate su Banca Popolare dell'Emilia Romagna, Banco BPM, Commerzbank, Monte dei Paschi di Siena;Banca Monte dei Paschi di Siena S.p.A.;BIT:BMPS;BIT;IT0005508921;Banking;Financials
DE000VJ41289;Memory Cash Collect Express Certificate su Banca Popolare dell'Emilia Romagna, Banco BPM, Commerzbank, Monte dei Paschi di Siena;Banco BPM S.p.A.;BIT:BAMI;BIT;IT0005218380;Banking;Financials
DE000VJ41289;Memory Cash Collect Express Certificate su Banca Popolare dell'Emilia Romagna, Banco BPM, Commerzbank, Monte dei Paschi di Siena;Commerzbank AG;ETR:CBK;XETRA;DE000CBK1001;Banking;Financials
IT0006776154;12m Wof Memory Phoenix Autocall on Stellantis NV (STLAM IM Equity), STMicroelectronics NV (STMPA FP Equity), Banca Monte dei Paschi di Sien (BMPS IM Equity), Prysmian SpA (PRY IM Equity) in EUR;Stellantis NV;BIT:STLAM;BIT;NL00150001Q9;Automobiles;Consumer Discretionary
IT0006776154;12m Wof Memory Phoenix Autocall on Stellantis NV (STLAM IM Equity), STMicroelectronics NV (STMPA FP Equity), Banca Monte dei Paschi di Sien (BMPS IM Equity), Prysmian SpA (PRY IM Equity) in EUR;STMicroelectronics NV;EPA:STMPA;EPA;NL0000226223;Semiconductors;Information Technology
IT0006776154;12m Wof Memory Phoenix Autocall on Stellantis NV (STLAM IM Equity), STMicroelectronics NV (STMPA FP Equity), Banca Monte dei Paschi di Sien (BMPS IM Equity), Prysmian SpA (PRY IM Equity) in EUR;Banca Monte dei Paschi di Siena S.p.A.;BIT:BMPS;BIT;IT0005508921;Banking;Financials
IT0006776154;12m Wof Memory Phoenix Autocall on Stellantis NV (STLAM IM Equity), STMicroelectronics NV (STMPA FP Equity), Banca Monte dei Paschi di Sien (BMPS IM Equity), Prysmian SpA (PRY IM Equity) in EUR;Prysmian SpA;BIT:PRY;BIT;IT0004176001;Electrical Equipment;Industrials
NLBNPIT304Q7;12 Premi Fissi Cash Collect Step Down;Alphabet Inc;NASDAQ:GOOGL;NASDAQ;US02079K3059;Internet Content and Information;Communication Services
NLBNPIT304Q7;12 Premi Fissi Cash Collect Step Down;Microsoft Corp;NASDAQ:MSFT;NASDAQ;US5949181045;Software;Information Technology
NLBNPIT304Q7;12 Premi Fissi Cash Collect Step Down;C3.ai Inc;NYSE:AI;NYSE;US12468P1049;Software;Information Technology
NLBNPIT304V7;Cash Collect Memory Callable su Basket Worst Of (Eurostoxx Banks, S&P 500, Nikkei 225, Nasdaq 100);EURO STOXX Banks Index;STOXX:SX7E;STOXX;N/A;Banking;Financials
NLBNPIT304V7;Cash Collect Memory Callable su Basket Worst Of (Eurostoxx Banks, S&P 500, Nikkei 225, Nasdaq 100);S&P 500 Index;INDEXSP:.INX;CBOE;N/A;N/A;N/A
NLBNPIT304V7;Cash Collect Memory Callable su Basket Worst Of (Eurostoxx Banks, S&P 500, Nikkei 225, Nasdaq 100);Nasdaq 100 Index;NVDA:NASDAQ;NASDAQ;N/A;N/A;N/A
NLBNPIT304Z8;EURO STOXX 50, FTSE MIB Index, Kospi 200, Nikkei 225 Memory Cash Collect;Euro Stoxx 50;SX5E;N/A;EU0009658145;Indices;Finance
NLBNPIT304Z8;EURO STOXX 50, FTSE MIB Index, Kospi 200, Nikkei 225 Memory Cash Collect;FTSE MIB;FTSEMIB;N/A;GB00BNNLHW18;Indices;Finance
NLBNPIT304Z8;EURO STOXX 50, FTSE MIB Index, Kospi 200, Nikkei 225 Memory Cash Collect;Nikkei 225;NKY;N/A;JP9010C00002;Indices;Finance
NLBNPIT304Z8;EURO STOXX 50, FTSE MIB Index, Kospi 200, Nikkei 225 Memory Cash Collect;KOSPI 200 Index;KOSPI2;N/A;KRD020020008;Indices;Finance
XS3052742759;Worst-of European Barrier Autocallable Equity Linked Securities linked to a Basket of Shares due 10 July 2028;Commerzbank AG;FRA:CBK;XETRA (Frankfurt Stock Exchange);DE000CBK1001;Banks;Financials
XS3052742759;Worst-of European Barrier Autocallable Equity Linked Securities linked to a Basket of Shares due 10 July 2028;Intesa Sanpaolo;BIT:ISP;Borsa Italiana S.p.A;IT0000072618;Banks;Financials
XS3052742759;Worst-of European Barrier Autocallable Equity Linked Securities linked to a Basket of Shares due 10 July 2028;Banco Bilbao Vizcaya Argentaria (BBVA);BME:BBVA;BME;ES0113211835;Banks;Financials
XS3052742759;Worst-of European Barrier Autocallable Equity Linked Securities linked to a Basket of Shares due 10 July 2028;Banca Monte dei Paschi di Siena;BIT:BMPS;Borsa Italiana S.p.A;IT0005508921;Banks;Financials
DE000HC3UPZ5;Cash Collect Protetto su Intesa Sanpaolo S.p.A.;Intesa Sanpaolo S.p.A.;BIT:ISP;BIT;IT0000072618;N/A;N/A
IT0006771353;IT0006771353;Intel;NASDAQ:INTC;NASDAQ;N/A;N/A;N/A
IT0006771353;IT0006771353;Broadcom;NASDAQ:AVGO;NASDAQ;N/A;N/A;N/A
IT0006771353;IT0006771353;STMicroelectronics;EPA:STM;EPA;N/A;N/A;N/A
IT0006771353;IT0006771353;Advanced Micro Devices;NASDAQ:AMD;NASDAQ;N/A;N/A;N/A
NLBNPIT302Z2;Cash Collect Protection Booster (ISP, SAN, GS, MS);Goldman Sachs;NYSE:GS;N/A;N/A;N/A;N/A
NLBNPIT302Z2;Cash Collect Protection Booster (ISP, SAN, GS, MS);Intesa Sanpaolo;BIT:ISP;N/A;N/A;N/A;N/A
NLBNPIT302Z2;Cash Collect Protection Booster (ISP, SAN, GS, MS);Banco Santander;BME:SAN;N/A;N/A;N/A;N/A
NLBNPIT302Z2;Cash Collect Protection Booster (ISP, SAN, GS, MS);Morgan Stanley;NYSE:MS;N/A;N/A;N/A;N/A
NLBNPIT30374;Cash Collect Protection Booster (The Boeing Co, Rheinmetall AG, Leonardo SpA, Thales SA);Leonardo;BIT:LDO;N/A;N/A;N/A;N/A
NLBNPIT30374;Cash Collect Protection Booster (The Boeing Co, Rheinmetall AG, Leonardo SpA, Thales SA);Boeing;NYSE:BA;N/A;N/A;N/A;N/A
NLBNPIT30374;Cash Collect Protection Booster (The Boeing Co, Rheinmetall AG, Leonardo SpA, Thales SA);Rheinmetall;ETR:RHM;N/A;N/A;N/A;N/A
NLBNPIT30374;Cash Collect Protection Booster (The Boeing Co, Rheinmetall AG, Leonardo SpA, Thales SA);Thales;EPA:HO;N/A;N/A;N/A;N/A
NLBNPIT21T57;Cash Collect Step Down 95% (Mercedes-Benz Group AG, Ford Motor Co, Tesla Inc);Mercedes-Benz Group AG;MBG;XETRA;DE0007100000;Automotive;Automotive
NLBNPIT21T57;Cash Collect Step Down 95% (Mercedes-Benz Group AG, Ford Motor Co, Tesla Inc);Ford Motor Co;PLTR:NYSE;NYSE;US3453708600;Automotive;Automotive
NLBNPIT21T57;Cash Collect Step Down 95% (Mercedes-Benz Group AG, Ford Motor Co, Tesla Inc);Tesla Inc;NASDAQ:TSLA;NASDAQ;US88160R1014;Automotive;Automotive
CH1550424670;Target One Autocallable (Anglogold Ashanti ADR, Colgate-Palmolive, Moderna);Anglogold Ashanti ADR;AU;NYSE;GB00BRXH2664;Gold Mining;Basic Materials
NLBNPIT2EPV5;12 Premi Fissi Cash Collect Step Down 95% (NVIDIA, MSFT, AMZN, META);Meta Platforms Inc;NASDAQ:META;NASDAQ;US30303M1027;Social Media;Communication Services
NLBNPIT2SP93;12 Premi Fissi Cash Collect Step Down 95% (META, GOOGL, AMD, AMZN);Meta Platforms Inc;NASDAQ:META;NASDAQ;US30303M1027;Internet Content and Information;Communication Services
NLBNPIT2SP93;12 Premi Fissi Cash Collect Step Down 95% (META, GOOGL, AMD, AMZN);Alphabet Inc;NASDAQ:GOOGL;NASDAQ;US02079K3059;Internet Content and Information;Communication Services
NLBNPIT303A3;Cash Collect Protection Booster (NVIDIA, Intel, Tesla, Meta);Meta Platforms Inc.;NASDAQ:META;NASDAQ;US30303M1027;Internet Content and Information;Communication Services
CH1550424647;Twin-Win Certificate in EUR on Ferrari, Hermès, Kering (RACE, RMS, KER);FERRARI NV;BIT:RACE;BIT;NL0011585146;Auto Manufacturers;Consumer Cyclical
CH1550424647;Twin-Win Certificate in EUR on Ferrari, Hermès, Kering (RACE, RMS, KER);HERMES INTERNATIONAL;RMS;EPA;FR0000052292;Luxury Goods;Consumer Cyclical
CH1550424647;Twin-Win Certificate in EUR on Ferrari, Hermès, Kering (RACE, RMS, KER);KERING;EPA:KER;EPA;FR0000121485;Luxury Goods;Consumer Cyclical
DE000VG656A7;Memory Express Certificate on Delivery Hero (DHER.DE), Zalando (ZAL.DE), and HelloFresh (HFG.DE);Zalando SE;ZAL.DE;XETRA;DE000ZAL1F18;Internet Retail;Consumer Cyclical
DE000VG656A7;Memory Express Certificate on Delivery Hero (DHER.DE), Zalando (ZAL.DE), and HelloFresh (HFG.DE);Delivery Hero SE;DHER.DE;XETRA;DE000A2E4K43;Restaurants;Consumer Cyclical
DE000VH30021;Memory Express Zertifikat auf Allianz, AXA, Zurich Insurance (ALV, CS, ZURN);Moncler;BIT:MONC;BIT;IT0004965148;Luxury Goods;Consumer Cyclical
IT0006772583;12m Wof Memory Phoenix Autocall on Tesla Inc (TSLA), Intel Corp (INTC), Micron Technology Inc (MU), Oracle Corp (ORCL) in EUR;Tesla;NASDAQ:TSLA;NASDAQ;US88160R1014;Auto Manufacturers;Consumer Cyclical
NLBNPIT2EPT9;12 Premi Fissi Cash Collect Step Down 95% (KER, RCL, BRBY);Royal Caribbean Cruises Ltd;RCL;NYSE;LR0008862868;Travel and Leisure;Consumer Cyclical
NLBNPIT2EPT9;12 Premi Fissi Cash Collect Step Down 95% (KER, RCL, BRBY);Burberry Group PLC;LON:BRBY;LSE;GB0031743007;Luxury Goods;Consumer Cyclical
NLBNPIT2EPT9;12 Premi Fissi Cash Collect Step Down 95% (KER, RCL, BRBY);Kering SA;EPA:KER;EPA;FR0000121485;Luxury Goods;Consumer Cyclical
NLBNPIT2HHH4;12 Premi Fissi Cash Collect Step Down 95% (Leonardo SpA, ERG SpA, Ferrari NV, Moncler SpA);Moncler;BIT:MONC;BIT;IT0004965148;Luxury Goods;Consumer Cyclical
NLBNPIT2HHH4;12 Premi Fissi Cash Collect Step Down 95% (Leonardo SpA, ERG SpA, Ferrari NV, Moncler SpA);Ferrari;BIT:RACE;BIT;NL0011585146;Auto Manufacturers;Consumer Cyclical
NLBNPIT2SP93;12 Premi Fissi Cash Collect Step Down 95% (META, GOOGL, AMD, AMZN);Amazon.com Inc;NASDAQ:AMZN;NASDAQ;US0231351067;Internet Retail;Consumer Cyclical
NLBNPIT2T027;Cash Collect Booster (Palantir, Tesla, NVIDIA);Tesla;NASDAQ:TSLA;NASDAQ;N/A;Auto Manufacturers;Consumer Cyclical
NLBNPIT2XBR3;12 Premi Fissi Cash Collect Step Down;Kering SA;EPA:KER;EPA;FR0000121485;Luxury Goods;Consumer Cyclical
NLBNPIT2XBR3;12 Premi Fissi Cash Collect Step Down;Moncler SpA;BIT:MONC;BIT;IT0004965148;Luxury Goods;Consumer Cyclical
NLBNPIT300H4;Step Down Memory Cash Collect on Stellantis NV;Stellantis;BIT:STLAM;BIT;NL00150001Q9;Auto Manufacturers;Consumer Cyclical
NLBNPIT300T9;Step Down Memory Cash Collect on Tesla Inc;Tesla;NASDAQ:TSLA;NASDAQ;US88160R1014;Auto Manufacturers;Consumer Cyclical
NLBNPIT30333;Cash Collect Protection Booster (Enel, Leonardo, Snam, Moncler);Moncler SpA;BIT:MONC;BIT;IT0004965148;Apparel Manufacturing;Consumer Cyclical
NLBNPIT303A3;Cash Collect Protection Booster (NVIDIA, Intel, Tesla, Meta);Tesla Inc;NASDAQ:TSLA;NASDAQ;US88150R1014;Automotive;Consumer Cyclical
NLBNPIT304L8;12 Premi Fissi Cash Collect Step Down (ENI, ENEL, RACE, ISP);Ferrari NV;BIT:RACE;BIT;NL0011585146;Auto Manufacturers;Consumer Cyclical
NLBNPIT304N4;12 Premi Fissi Cash Collect Step Down (ASML, STLAM, CBK, ENR);Stellantis NV;BIT:STLAM;BIT;NL00150001Q9;Automotive;Consumer Cyclical
CH1550424670;Target One Autocallable (Anglogold Ashanti ADR, Colgate-Palmolive, Moderna);Colgate-Palmolive;CL;NYSE;US1941621039;Household and Personal Products;Consumer Defensive
DE000VG656A7;Memory Express Certificate on Delivery Hero (DHER.DE), Zalando (ZAL.DE), and HelloFresh (HFG.DE);HelloFresh SE;HFG.DE;XETRA;DE000A161408;Food and Beverage;Consumer Defensive
IT0006767823;N/A;Amazon;AMZN:NASDAQ;NASDAQ;US0231351067;E-commerce;Consumer Discretionary
NLBNPIT2EPV5;12 Premi Fissi Cash Collect Step Down 95% (NVIDIA, MSFT, AMZN, META);Amazon.com Inc;NASDAQ:AMZN;NASDAQ;US0231351067;E-commerce;Consumer Discretionary
NLBNPIT2QDD3;Low Barrier Cash Collect on Oracle Corp, Dell Technologies Inc, Fortinet Inc, Amazon.com Inc;Amazon;NASDAQ:AMZN;NASDAQ;US0231351067;Broadline Retail;Consumer Discretionary
CH1550424928;Certificato Express in EUR su Banco BPM, Davide Campari-Milano, Enel, Leonardo (BAMI, CPR, ENEL, LDO);DAVIDE CAMPARI-MILANO NV;CPR;BIT;NL0015435975;Beverages;Consumer Goods
IT0006775404;60m Wof Memory Phoenix Autocall on EURO STOXX 50 Price EUR, S&P 500 INDEX, Nikkei 225, iShares China Large-Cap ETF in EUR;iShares China Large-Cap ETF;NYSEARCA:FXI;Not Specified;Not Specified;Financial Services;ETFs
DE000VK6PMC6;Vontobel Memory Express Zertifikat auf Allianz, AXA, Zurich Insurance;Eni;BIT:ENI;BIT;IT0003132636;Oil and Gas;Energy
IT0006771148;IT0006771148;TotalEnergies;TTE.PA;EPA;FR0000120271;Oil and Gas Integrated;Energy
IT0006771148;IT0006771148;Chevron;CVX;NYSE;US1667641005;Oil and Gas Integrated;Energy
IT0006771148;IT0006771148;Occidental Petroleum;OXY;NYSE;US6745991058;Oil and Gas Exploration and Production;Energy
IT0006771148;IT0006771148;Eni;BIT:ENI;BIT;IT0003132476;Oil and Gas Integrated;Energy
NLBNPIT30325;Cash Collect Protection Booster (Poste Italiane SpA, UniCredit SpA, Generali, Eni SpA);Eni S.p.A.;BIT:ENI;BIT;IT0003132476;Integrated Oil and Gas;Energy
NLBNPIT30333;Cash Collect Protection Booster (Enel, Leonardo, Snam, Moncler);Snam SpA;BIT:SRG;BIT;IT0003153415;Gas Utilities;Energy
NLBNPIT30382;Cash Collect Protection Booster (BP, TTE, EQNR, REP);Repsol;REP;BME;ES0173516115;Integrated Oil and Gas;Energy
NLBNPIT30382;Cash Collect Protection Booster (BP, TTE, EQNR, REP);British Petroleum;BP;LSE;GB00BN7L1Y91;Integrated Oil and Gas;Energy
NLBNPIT30382;Cash Collect Protection Booster (BP, TTE, EQNR, REP);TotalEnergies;TTE;EPA;FR0000120271;Integrated Oil and Gas;Energy
NLBNPIT30382;Cash Collect Protection Booster (BP, TTE, EQNR, REP);Equinor ASA;EQNR;Oslo Stock Exchange;NO0010096985;Oil and Gas;Energy
NLBNPIT304L8;12 Premi Fissi Cash Collect Step Down (ENI, ENEL, RACE, ISP);Eni SpA;BIT:ENI;BIT;IT0003132476;Oil and Gas;Energy
XS3312413696;Credit Certificate on LEONARDO S.P.A., ENI S.P.A., ENEL S.P.A.;ENI S.P.A.;BIT:ENI;BIT;IT0003132476;Oil and Gas;Energy
XS3342731489;10Y 100% Protection Cash Collect on Solactive Constant Maturity BUND 10Y in EUR (SOLDE10E);Solactive Constant Maturity BUND 10Y Yield Index;SOLDE10E;N/A;N/A;Government Bonds;Finance
CH1525091620;Express Certificate in EUR on iShares Silver Trust (SLV) and SPDR Gold Trust (GLD);iShares Silver Trust;NYSEARCA:SLV;NYSE Arca;US46428Q1094;Commodities;Financial
CH1525091620;Express Certificate in EUR on iShares Silver Trust (SLV) and SPDR Gold Trust (GLD);SPDR Gold Shares;NYSEARCA:GLD;NYSE Arca;US78463V1070;Commodities;Financial
CH1550424928;Certificato Express in EUR su Banco BPM, Davide Campari-Milano, Enel, Leonardo (BAMI, CPR, ENEL, LDO);BANCO BPM SPA;BIT:BAMI;BIT;IT0005218380;Banking;Financial
CH1550425057;Phoenix Autocallable on Banca Monte dei Paschi Siena, Barclays, Commerzbank, Société Générale;Barclays PLC;LON:BARC;LSE;GB0031348658;Banking;Financial
CH1550425057;Phoenix Autocallable on Banca Monte dei Paschi Siena, Barclays, Commerzbank, Société Générale;Société Générale;EPA:GLE;EPA;FR0000130809;Banking;Financial
CH1550425057;Phoenix Autocallable on Banca Monte dei Paschi Siena, Barclays, Commerzbank, Société Générale;Banca Monte dei Paschi Siena;BIT:BMPS;BIT;IT0005508921;Banking;Financial
CH1550425057;Phoenix Autocallable on Banca Monte dei Paschi Siena, Barclays, Commerzbank, Société Générale;Commerzbank AG;FRA:CBK;Xetra;DE000CBK1001;Banking;Financial
NLBNPIT30341;Cash Collect Protection Booster (UNI, G, SREN, SCR);Unipol Assicurazioni SpA;BIT:UNI;BIT;IT0004810054;Insurance;Financial
NLBNPIT30341;Cash Collect Protection Booster (UNI, G, SREN, SCR);Swiss Re AG;SWX:SREN;SIX Swiss Exchange;CH0126881561;Insurance;Financial
NLBNPIT30341;Cash Collect Protection Booster (UNI, G, SREN, SCR);SCOR SE;EPA:SCR;EPA;FR0010411983;Insurance;Financial
NLBNPIT30507;Memory Cash Collect Callable-EWY, MCHI, SPX, SX5E;iShares MSCI South Korea ETF;NYSEARCA:EWY;NYSE Arca;US4642867765;ETF;Financial
NLBNPIT30507;Memory Cash Collect Callable-EWY, MCHI, SPX, SX5E;iShares MSCI China ETF;NASDAQ:MCHI;NASDAQ;US4642866858;ETF;Financial
XS3304607255;12Y 100% Protection Cash Collect on Solactive BTP 10Y Index in EUR (SOITA10Y);Solactive BTP 10 Annual Comp. Yield Index;SOITA10Y;Solactive;N/A;Indices;Financial
XS3343672740;7Y 100% Protection Cash Collect on Solactive Constant Maturity EU NXG 10Y (SOLEU10E);Solactive Constant Maturity EU NXG 10Y;SOLEU10E;N/A;N/A;Indices;Financial
CH1525083577;Certificato Express in EUR su Banca Monte dei Paschi Siena, Banco BPM, UniCredit (BMPS, BAMI, UCG);Unicredit;BIT:UCG;BIT;IT0005239367;Banks;Financial Services
CH1525083577;Certificato Express in EUR su Banca Monte dei Paschi Siena, Banco BPM, UniCredit (BMPS, BAMI, UCG);Banco BPM;BIT:BAMI;BIT;IT0005218380;Banks;Financial Services
CH1525083577;Certificato Express in EUR su Banca Monte dei Paschi Siena, Banco BPM, UniCredit (BMPS, BAMI, UCG);Banca MPS;BIT:BMPS;BIT;IT0005336148;Banks;Financial Services
CH1525091620;Express Certificate in EUR on iShares Silver Trust (SLV) and SPDR Gold Trust (GLD);SPDR Gold Shares;NYSEARCA:GLD;NYSE Arca;US78463V1070;Exchange Traded Funds;Financial Services
CH1525091620;Express Certificate in EUR on iShares Silver Trust (SLV) and SPDR Gold Trust (GLD);iShares Silver Trust;NYSEARCA:SLV;NYSE Arca;US46428Q1094;Exchange Traded Funds;Financial Services
CH1550420314;Phoenix Autocallable on Aegon, Allianz, Generali, Swiss Re;AEGON LTD;AGN;Amsterdam;BMG0112X1056;Insurance;Financial Services
CH1550420314;Phoenix Autocallable on Aegon, Allianz, Generali, Swiss Re;ALLIANZ SE-REG;ALV;Xetra;DE0008404005;Insurance;Financial Services
CH1550420314;Phoenix Autocallable on Aegon, Allianz, Generali, Swiss Re;SWISS RE AG;SWX:SREN;SIX Swiss Exchange AG;CH0126881561;Insurance;Financial Services
DE000VG656A7;Memory Express Certificate on Delivery Hero (DHER.DE), Zalando (ZAL.DE), and HelloFresh (HFG.DE);Banca MPS;BIT:BMPS;BIT;IT0005508921;Banks-Regional;Financial Services
DE000VG656A7;Memory Express Certificate on Delivery Hero (DHER.DE), Zalando (ZAL.DE), and HelloFresh (HFG.DE);Raiffeisen Bank;VIE:RBI;Vienna Stock Exchange;AT0000606306;Banks-Regional;Financial Services
DE000VG656A7;Memory Express Certificate on Delivery Hero (DHER.DE), Zalando (ZAL.DE), and HelloFresh (HFG.DE);Societe Generale;EPA:GLE;EPA;FR0000130809;Banks-Regional;Financial Services
DE000VH30021;Memory Express Zertifikat auf Allianz, AXA, Zurich Insurance (ALV, CS, ZURN);Banca MPS;BIT:BMPS;BIT;IT0005508921;Banks;Financial Services
IT0006770512;60m Wof Memory Phoenix Autocall on BNP Paribas SA, UniCredit SpA, Banco BPM SpA in EUR;BNP Paribas;EPA:BNP;EPA;FR0000131104;Banks-Diversified;Financial Services
IT0006770512;60m Wof Memory Phoenix Autocall on BNP Paribas SA, UniCredit SpA, Banco BPM SpA in EUR;Unicredit;BIT:UCG;BIT;IT0005239360;Banks-Regional;Financial Services
IT0006770512;60m Wof Memory Phoenix Autocall on BNP Paribas SA, UniCredit SpA, Banco BPM SpA in EUR;UniCredit SpA;BIT:UCG;BIT;IT0005239360;Banks;Financial Services
IT0006770512;60m Wof Memory Phoenix Autocall on BNP Paribas SA, UniCredit SpA, Banco BPM SpA in EUR;Banco BPM;BIT:BAMI;BIT;IT0005218380;Banks-Regional;Financial Services
IT0006770512;60m Wof Memory Phoenix Autocall on BNP Paribas SA, UniCredit SpA, Banco BPM SpA in EUR;Banco BPM SpA;BIT:BAMI;BIT;IT0005218380;Banks;Financial Services
IT0006770512;60m Wof Memory Phoenix Autocall on BNP Paribas SA, UniCredit SpA, Banco BPM SpA in EUR;BNP Paribas SA;EPA:BNP;EPA;FR0000131104;Banks;Financial Services
IT0006775347;110m Credit Linked on UniCredit SpA in EUR;UniCredit SpA;BIT:UCG;BIT;IT0005239360;Banking;Financial Services
NLBNPIT2XBR3;12 Premi Fissi Cash Collect Step Down;Banco BPM SpA;BIT:BAMI;BIT;IT0005218380;Banks;Financial Services
NLBNPIT300C5;Step Down Memory Cash Collect on Banca Monte dei Paschi di Siena SpA (BMPS);Banca MPS;BMPS:MIL;BIT;IT0005336171;Banks;Financial Services
NLBNPIT302V1;Cash Collect Protection Booster (UniCredit SpA, Intesa Sanpaolo SpA, BPER Banca SPA);BPER Banca;BIT:BPE;BIT;IT0000066123;Banks;Financial Services
NLBNPIT302V1;Cash Collect Protection Booster (UniCredit SpA, Intesa Sanpaolo SpA, BPER Banca SPA);Intesa Sanpaolo;BIT:ISP;BIT;IT0000072618;Banks;Financial Services
NLBNPIT302V1;Cash Collect Protection Booster (UniCredit SpA, Intesa Sanpaolo SpA, BPER Banca SPA);Unicredit;BIT:UCG;BIT;IT0005239360;Banks;Financial Services
NLBNPIT30309;Cash Collect Protection Booster (BMPS, GLE, CABK, BBVA);Societe Generale;EPA:GLE;EPA;FR0000130807;Banks-Diversified;Financial Services
NLBNPIT30309;Cash Collect Protection Booster (BMPS, GLE, CABK, BBVA);CaixaBank S.A.;BME:CABK;BME;ES0118620317;Banks-Diversified;Financial Services
NLBNPIT30309;Cash Collect Protection Booster (BMPS, GLE, CABK, BBVA);Banco Bilbao Vizcaya Argentaria S.A.;BME:BBVA;BME;ES0116200035;Banks-Diversified;Financial Services
NLBNPIT30309;Cash Collect Protection Booster (BMPS, GLE, CABK, BBVA);Banca Monte dei Paschi di Siena S.p.A.;BIT:BMPS;BIT;IT0005345714;Banks-Regional;Financial Services
NLBNPIT304L8;12 Premi Fissi Cash Collect Step Down (ENI, ENEL, RACE, ISP);Intesa Sanpaolo SpA;BIT:ISP;BIT;IT0000072618;Banks-Regional;Financial Services
