isin;ask;bid;dt
CH1550425057;"";1022.06;2026-05-27T12-29-57
CH1550425057;"";1014.66;2026-06-02T15-00-38
CH1550425057;"";987.01;2026-05-15T15-00-53
CH1550425057;"";984.9;2026-05-12T15-00-58
CH1550425057;"";1018.82;2026-05-26T08-00-47
CH1550425057;"";1018.82;2026-05-25T15-00-38
CH1550425057;"";1014.69;2026-05-29T13-00-49
CH1550425057;"";1010.67;2026-06-03T08-01-00
CH1550425057;"";1018.69;2026-05-27T15-00-50
CH1550425057;"";1012.11;2026-06-02T13-00-56
DE000VH68M19;"";90.4;2026-06-01T15-00-46
DE000VH68M19;"";88.2;2026-06-02T13-00-56
DE000VH68M19;"";85.8;2026-06-04T15-01-14
DE000VH68M19;"";90.2;2026-06-03T08-01-00
DE000VH68M19;"";91.4;2026-05-29T08-00-30
DE000VH68M19;"";88.4;2026-06-01T13-00-55
DE000VH68M19;"";88.8;2026-06-02T15-00-38
DE000VH68M19;"";87.1;2026-05-29T15-00-30
DE000VH68M19;"";84.2;2026-06-04T08-00-23
DE000VH68M19;"";86.9;2026-06-02T08-00-29
DE000VH68M19;"";90;2026-05-26T08-00-47
DE000VH68M19;"";83;2026-06-04T13-01-07
DE000VH68M19;"";89.6;2026-06-01T08-00-35
DE000VH68M19;"";71;2026-04-22T15-00-40
DE000VH788T7;0.00;"";2026-01-19T20-45-37
DE000VH788T7;0.00;"";2026-01-19T21-03-40
DE000VH788T7;0.00;"";2026-01-19T20-36-53
DE000VJ0C1U5;0.00;"";2026-01-19T21-03-40
DE000VJ0C1U5;0.00;"";2026-01-19T20-36-53
DE000VJ0C1U5;0.00;"";2026-01-19T20-45-37
DE000VK6P0S8;0.00;"";2026-01-19T21-03-40
DE000VK6P0S8;0.00;"";2026-01-19T20-36-53
DE000VK6P0S8;0.00;"";2026-01-19T20-45-37
IT0006771353;1027.11;"";2026-04-28T12-41-28
IT0006771353;1027.11;"";2026-04-24T15-00-50
IT0006771353;1027.11;"";2026-04-27T15-00-41
IT0006771353;1027.11;"";2026-04-28T15-00-41
NLBNPIT2TQJ6;"";100.38;2026-05-26T08-00-47
NLBNPIT2TQJ6;"";98.93;2026-05-19T15-00-45
NLBNPIT2TQJ6;"";99.74;2026-05-22T15-00-30
NLBNPIT2TQJ6;"";100.32;2026-06-02T15-00-38
NLBNPIT2TQJ6;"";100.58;2026-05-29T15-00-30
NLBNPIT2TQJ6;"";100.42;2026-05-28T15-20-27
NLBNPIT2TQJ6;"";100.57;2026-05-27T08-00-33
NLBNPIT2TQJ6;"";100.49;2026-06-02T08-00-29
NLBNPIT2TQJ6;"";100.55;2026-06-01T13-00-55
NLBNPIT2TQJ6;"";100.20;2026-06-01T15-00-46
NLBNPIT2TQJ6;"";100.32;2026-05-25T15-00-38
NLBNPIT2TQJ6;"";100.82;2026-05-29T08-00-30
NLBNPIT2TQJ6;"";100.53;2026-05-29T13-00-49
NLBNPIT2TQJ6;"";99.26;2026-05-21T15-00-36
NLBNPIT2TQJ6;"";100.14;2026-06-02T13-00-56
NLBNPIT2TQJ6;"";100.49;2026-05-26T15-00-30
NLBNPIT2TQJ6;"";100.82;2026-05-29T08-00-30
NLBNPIT2TQJ6;"";100.58;2026-05-29T15-00-30
NLBNPIT2TQJ6;"";99.43;2026-05-21T08-12-47
NLBNPIT2TQJ6;"";100.65;2026-05-27T12-29-57
NLBNPIT2TQJ6;"";99.40;2026-05-22T08-00-46
NLBNPIT2TQJ6;"";99.25;2026-05-12T15-00-58
NLBNPIT2TQJ6;"";100.07;2026-06-03T08-01-00
NLBNPIT2TQJ6;"";99.49;2026-05-19T08-26-21
NLBNPIT2TQJ6;"";98.50;2026-06-04T13-01-07
NLBNPIT2TQJ6;"";99.18;2026-05-18T15-01-07
NLBNPIT2TQJ6;"";100.35;2026-05-28T15-01-05
NLBNPIT2TQJ6;"";100.43;2026-05-27T15-00-50
NLBNPIT2TQJ6;"";99.53;2026-05-14T15-00-57
NLBNPIT2TQJ6;"";100.14;2026-06-02T13-00-56
NLBNPIT2TQJ6;"";100.18;2026-05-25T08-00-41
NLBNPIT2TQJ6;"";99.96;2026-06-03T13-01-05
NLBNPIT2TQJ6;"";98.95;2026-05-15T15-00-53
NLBNPIT2TQJ6;"";100.07;2026-06-03T08-01-00
NLBNPIT2TQJ6;"";99.21;2026-05-20T15-00-39
NLBNPIT2TQJ6;"";98.68;2026-06-04T08-00-23
NLBNPIT2TQJ6;"";100.37;2026-05-28T08-00-28
NLBNPIT2TQJ6;"";100.55;2026-06-01T13-00-55
NLBNPIT2TQJ6;"";99.35;2026-05-13T15-00-49
NLBNPIT2TQJ6;"";98.57;2026-06-04T15-01-14
NLBNPIT2TQJ6;"";100.32;2026-06-02T15-00-38
NLBNPIT2TQJ6;"";100.45;2026-05-27T11-17-46
NLBNPIT2TQJ6;"";100.49;2026-06-02T08-00-29
NLBNPIT2TQJ6;"";100.30;2026-05-28T13-00-54
NLBNPIT2TQJ6;"";99.76;2026-06-03T15-00-57
NLBNPIT2TQJ6;"";100.20;2026-06-01T15-00-46
NLBNPIT300C5;"";96.74;2026-05-21T15-00-36
NLBNPIT300C5;"";97.14;2026-05-25T15-00-38
NLBNPIT300C5;"";98.15;2026-06-02T08-00-29
NLBNPIT300C5;"";96.87;2026-06-04T13-01-07
NLBNPIT300C5;"";98.23;2026-05-29T13-00-49
NLBNPIT300C5;"";98.15;2026-06-01T08-00-35
NLBNPIT300C5;"";97.37;2026-05-27T12-29-57
NLBNPIT300C5;"";98.15;2026-06-01T08-00-35
NLBNPIT300C5;"";98.54;2026-05-29T08-00-30
NLBNPIT300C5;"";98.26;2026-06-01T13-00-55
NLBNPIT300C5;"";95.65;2026-05-22T08-00-46
NLBNPIT300C5;"";97.37;2026-05-26T15-00-30
NLBNPIT300C5;"";97.40;2026-06-03T08-01-00
NLBNPIT300C5;"";98.15;2026-06-02T08-00-29
NLBNPIT300C5;"";97.18;2026-05-26T08-00-47
NLBNPIT300C5;"";98.54;2026-05-29T08-00-30
NLBNPIT300C5;"";97.81;2026-06-01T15-00-46
NLBNPIT300C5;"";97.85;2026-05-28T15-20-27
NLBNPIT300C5;"";97.80;2026-06-02T15-00-38
NLBNPIT300C5;"";97.27;2026-06-03T13-01-05
NLBNPIT300C5;"";97.80;2026-06-02T15-00-38
NLBNPIT300C5;"";96.66;2026-05-19T15-00-45
NLBNPIT300C5;"";97.40;2026-06-03T08-01-00
NLBNPIT300C5;"";97.81;2026-06-01T15-00-46
NLBNPIT300C5;"";96.66;2026-05-20T15-00-39
NLBNPIT300C5;"";98.26;2026-06-01T13-00-55
NLBNPIT300C5;"";97.66;2026-05-28T13-00-54
NLBNPIT300C5;"";96.91;2026-06-04T15-01-14
NLBNPIT300C5;"";97.51;2026-05-28T15-01-05
NLBNPIT300C5;"";98.22;2026-05-29T15-00-30
NLBNPIT300C5;"";97.86;2026-05-19T08-26-21
NLBNPIT300C5;"";96.91;2026-05-25T08-00-41
NLBNPIT300C5;"";97.07;2026-05-21T08-12-47
NLBNPIT300C5;"";97.47;2026-05-27T11-17-46
NLBNPIT300C5;"";97.82;2026-05-27T08-00-33
NLBNPIT300C5;"";97.11;2026-06-04T08-00-23
NLBNPIT300C5;"";96.56;2026-05-22T15-00-30
NLBNPIT300C5;"";97.57;2026-05-28T08-00-28
NLBNPIT300C5;"";96.85;2026-06-03T15-00-57
NLBNPIT300C5;"";97.69;2026-06-02T13-00-56
NLBNPIT300C5;"";98.22;2026-05-29T15-00-30
NLBNPIT300C5;"";97.40;2026-05-27T15-00-50
NLBNPIT300C5;"";97.69;2026-06-02T13-00-56
NLBNPIT30150;"";95.31;2026-04-01T08-10-03
NLBNPIT30150;"";94.86;2026-04-02T10-31-37
NLBNPIT30150;"";96.51;2026-04-03T15-05-36
it0006771353;1027.11;"";2026-04-29T15-00-33
it0006771353;1027.11;"";2026-04-29T09-31-11
it0006771353;1027.11;"";2026-04-29T10-28-29
it0006771353;1027.11;"";2026-04-30T15-01-12
