isin;ask;bid;dt
DE000VG656A7;"";"";2026-06-02T08-00-29
DE000VG656A7;"";"";2026-06-02T13-00-56
DE000VG656A7;"";"";2026-06-02T15-00-38
DE000VG656A7;"";"";2026-06-03T08-01-00
DE000VG656A7;"";"";2026-06-04T08-00-23
DE000VG656A7;"";"";2026-06-04T13-01-07
DE000VG656A7;"";"";2026-06-04T15-01-14
DE000VH30021;"";"";2026-06-01T08-00-35
DE000VH30021;"";"";2026-06-01T13-00-55
DE000VH30021;"";"";2026-06-01T15-00-46
DE000VH30021;"";"";2026-06-03T08-01-00
DE000VH30021;"";"";2026-06-03T13-01-05
DE000VH30021;"";"";2026-06-03T15-00-57
DE000VH30021;"";"";2026-06-02T08-00-29
DE000VH30021;"";"";2026-06-02T13-00-56
DE000VH30021;"";"";2026-06-02T15-00-38
DE000VH30021;"";"";2026-05-29T08-00-30
DE000VH30021;"";"";2026-05-29T15-00-30
DE000VH30021;"";"";2026-06-01T08-00-35
DE000VH30021;"";"";2026-06-01T13-00-55
DE000VH30021;"";"";2026-06-01T15-00-46
DE000VH30021;"";"";2026-06-02T08-00-29
DE000VH30021;"";"";2026-06-02T13-00-56
DE000VH30021;"";"";2026-06-02T15-00-38
DE000VH30021;"";"";2026-06-03T08-01-00
DE000VH30021;"";"";2026-06-04T08-00-23
DE000VH30021;"";"";2026-06-04T13-01-07
DE000VH30021;"";"";2026-06-04T15-01-14
DE000VH68M19;"";"";2026-06-01T08-00-35
DE000VH68M19;"";"";2026-06-01T13-00-55
DE000VH68M19;"";"";2026-06-01T15-00-46
DE000VH68M19;"";"";2026-06-03T08-01-00
DE000VH68M19;"";"";2026-06-03T13-01-05
DE000VH68M19;"";"";2026-06-03T15-00-57
DE000VH68M19;"";"";2026-06-02T08-00-29
DE000VH68M19;"";"";2026-06-02T13-00-56
DE000VH68M19;"";"";2026-06-02T15-00-38
DE000VH68M19;"";91.4;2026-05-29T08-00-30
DE000VH68M19;"";87.1;2026-05-29T15-00-30
DE000VH68M19;"";89.6;2026-06-01T08-00-35
DE000VH68M19;"";88.4;2026-06-01T13-00-55
DE000VH68M19;"";90.4;2026-06-01T15-00-46
DE000VH68M19;"";86.9;2026-06-02T08-00-29
DE000VH68M19;"";88.2;2026-06-02T13-00-56
DE000VH68M19;"";88.8;2026-06-02T15-00-38
DE000VH68M19;"";90.2;2026-06-03T08-01-00
DE000VH68M19;"";84.2;2026-06-04T08-00-23
DE000VH68M19;"";83;2026-06-04T13-01-07
DE000VH68M19;"";85.8;2026-06-04T15-01-14
DE000VJ6U7J7;"";"";2026-06-01T08-00-35
DE000VJ6U7J7;"";"";2026-06-01T13-00-55
DE000VJ6U7J7;"";"";2026-06-03T08-01-00
DE000VJ6U7J7;"";"";2026-06-03T13-01-05
DE000VJ6U7J7;"";"";2026-06-03T15-00-57
DE000VJ6U7J7;"";"";2026-06-02T08-00-29
DE000VJ6U7J7;"";"";2026-06-02T13-00-56
DE000VJ6U7J7;"";"";2026-06-02T15-00-38
DE000VJ6U7J7;"";"";2026-06-04T08-00-23
DE000VJ6U7J7;"";"";2026-06-04T13-01-07
DE000VJ6U7J7;"";"";2026-06-04T15-01-14
IT0006767823;"";"";2026-06-01T08-00-35
IT0006767823;"";"";2026-06-01T13-00-55
IT0006767823;"";"";2026-06-01T15-00-46
IT0006767823;"";"";2026-06-03T08-01-00
IT0006767823;"";"";2026-06-03T13-01-05
IT0006767823;"";"";2026-06-03T15-00-57
IT0006767823;"";"";2026-06-02T08-00-29
IT0006767823;"";"";2026-06-02T13-00-56
IT0006767823;"";"";2026-06-02T15-00-38
IT0006767823;"";"";2026-05-29T08-00-30
IT0006767823;"";"";2026-05-29T15-00-30
IT0006767823;"";"";2026-06-01T08-00-35
IT0006767823;"";"";2026-06-01T13-00-55
IT0006767823;"";"";2026-06-01T15-00-46
IT0006767823;"";"";2026-06-02T08-00-29
IT0006767823;"";"";2026-06-02T13-00-56
IT0006767823;"";"";2026-06-02T15-00-38
IT0006767823;"";"";2026-06-03T08-01-00
IT0006767823;"";"";2026-06-04T08-00-23
IT0006767823;"";"";2026-06-04T13-01-07
IT0006767823;"";"";2026-06-04T15-01-14
IT0006770512;"";"";2026-06-01T13-00-55
IT0006770512;"";"";2026-06-01T15-00-46
IT0006770512;"";"";2026-06-03T08-01-00
IT0006770512;"";"";2026-06-03T13-01-05
IT0006770512;"";"";2026-06-03T15-00-57
IT0006770512;"";"";2026-06-02T08-00-29
IT0006770512;"";"";2026-06-02T13-00-56
IT0006770512;"";"";2026-06-02T15-00-38
IT0006770512;"";"";2026-05-29T08-00-30
IT0006770512;"";"";2026-05-29T15-00-30
IT0006770512;"";"";2026-06-01T13-00-55
IT0006770512;"";"";2026-06-01T15-00-46
IT0006770512;"";"";2026-06-02T08-00-29
IT0006770512;"";"";2026-06-02T13-00-56
IT0006770512;"";"";2026-06-02T15-00-38
IT0006770512;"";"";2026-06-03T08-01-00
IT0006770512;"";"";2026-06-04T08-00-23
IT0006770512;"";"";2026-06-04T13-01-07
IT0006770512;"";"";2026-06-04T15-01-14
IT0006771148;"";"";2026-06-01T08-00-35
IT0006771148;"";"";2026-06-01T13-00-55
IT0006771148;"";"";2026-06-01T15-00-46
IT0006771148;"";"";2026-06-03T08-01-00
IT0006771148;"";"";2026-06-03T13-01-05
IT0006771148;"";"";2026-06-03T15-00-57
IT0006771148;"";"";2026-06-02T08-00-29
IT0006771148;"";"";2026-06-02T13-00-56
IT0006771148;"";"";2026-06-02T15-00-38
IT0006771148;"";"";2026-05-29T08-00-30
IT0006771148;"";"";2026-05-29T15-00-30
IT0006771148;"";"";2026-06-01T08-00-35
IT0006771148;"";"";2026-06-01T13-00-55
IT0006771148;"";"";2026-06-01T15-00-46
IT0006771148;"";"";2026-06-02T08-00-29
IT0006771148;"";"";2026-06-02T13-00-56
IT0006771148;"";"";2026-06-02T15-00-38
IT0006771148;"";"";2026-06-03T08-01-00
IT0006771148;"";"";2026-06-04T08-00-23
IT0006771148;"";"";2026-06-04T13-01-07
IT0006771148;"";"";2026-06-04T15-01-14
IT0006771353;"";"";2026-06-01T08-00-35
IT0006771353;"";"";2026-06-01T13-00-55
IT0006771353;"";"";2026-06-01T15-00-46
IT0006771353;"";"";2026-06-03T08-01-00
IT0006771353;"";"";2026-06-03T13-01-05
IT0006771353;"";"";2026-06-03T15-00-57
IT0006771353;"";"";2026-06-02T08-00-29
IT0006771353;"";"";2026-06-02T13-00-56
IT0006771353;"";"";2026-06-02T15-00-38
IT0006771353;"";"";2026-05-29T08-00-30
IT0006771353;"";"";2026-05-29T15-00-30
IT0006771353;"";"";2026-06-01T08-00-35
IT0006771353;"";"";2026-06-01T13-00-55
IT0006771353;"";"";2026-06-01T15-00-46
IT0006771353;"";"";2026-06-02T08-00-29
IT0006771353;"";"";2026-06-02T13-00-56
IT0006771353;"";"";2026-06-02T15-00-38
IT0006771353;"";"";2026-06-03T08-01-00
IT0006771353;"";"";2026-06-04T08-00-23
IT0006771353;"";"";2026-06-04T13-01-07
IT0006771353;"";"";2026-06-04T15-01-14
IT0006772062;"";"";2026-06-01T08-00-35
IT0006772062;"";"";2026-06-01T13-00-55
IT0006772062;"";"";2026-06-01T15-00-46
IT0006772062;"";"";2026-06-03T08-01-00
IT0006772062;"";"";2026-06-03T13-01-05
IT0006772062;"";"";2026-06-03T15-00-57
IT0006772062;"";"";2026-06-02T08-00-29
IT0006772062;"";"";2026-06-02T13-00-56
IT0006772062;"";"";2026-06-02T15-00-38
IT0006772062;"";"";2026-05-29T08-00-30
IT0006772062;"";"";2026-05-29T15-00-30
IT0006772062;"";"";2026-06-01T08-00-35
IT0006772062;"";"";2026-06-01T13-00-55
IT0006772062;"";"";2026-06-01T15-00-46
IT0006772062;"";"";2026-06-02T08-00-29
IT0006772062;"";"";2026-06-02T13-00-56
IT0006772062;"";"";2026-06-02T15-00-38
IT0006772062;"";"";2026-06-03T08-01-00
IT0006772062;"";"";2026-06-04T08-00-23
IT0006772062;"";"";2026-06-04T13-01-07
IT0006772062;"";"";2026-06-04T15-01-14
IT0006772583;"";"";2026-06-01T13-00-55
IT0006772583;"";"";2026-06-01T15-00-46
IT0006772583;"";"";2026-06-03T08-01-00
IT0006772583;"";"";2026-06-03T13-01-05
IT0006772583;"";"";2026-06-03T15-00-57
IT0006772583;"";"";2026-06-02T08-00-29
IT0006772583;"";"";2026-06-02T13-00-56
IT0006772583;"";"";2026-06-02T15-00-38
IT0006772583;"";"";2026-05-29T08-00-30
IT0006772583;"";"";2026-05-29T15-00-30
IT0006772583;"";"";2026-06-01T13-00-55
IT0006772583;"";"";2026-06-01T15-00-46
IT0006772583;"";"";2026-06-02T08-00-29
IT0006772583;"";"";2026-06-02T13-00-56
IT0006772583;"";"";2026-06-02T15-00-38
IT0006772583;"";"";2026-06-03T08-01-00
IT0006772583;"";"";2026-06-04T08-00-23
IT0006772583;"";"";2026-06-04T13-01-07
IT0006772583;"";"";2026-06-04T15-01-14
IT0006775347;"";"";2026-06-01T13-00-55
IT0006775347;"";"";2026-06-01T15-00-46
IT0006775347;"";"";2026-06-03T08-01-00
IT0006775347;"";"";2026-06-03T13-01-05
IT0006775347;"";"";2026-06-03T15-00-57
IT0006775347;"";"";2026-06-02T08-00-29
IT0006775347;"";"";2026-06-02T13-00-56
IT0006775347;"";"";2026-06-02T15-00-38
IT0006775347;"";"";2026-05-29T08-00-30
IT0006775347;"";"";2026-05-29T15-00-30
IT0006775347;"";"";2026-06-01T13-00-55
IT0006775347;"";"";2026-06-01T15-00-46
IT0006775347;"";"";2026-06-02T08-00-29
IT0006775347;"";"";2026-06-02T13-00-56
IT0006775347;"";"";2026-06-02T15-00-38
IT0006775347;"";"";2026-06-03T08-01-00
IT0006775347;"";"";2026-06-04T08-00-23
IT0006775347;"";"";2026-06-04T13-01-07
IT0006775347;"";"";2026-06-04T15-01-14
IT0006775404;"";"";2026-06-01T13-00-55
IT0006775404;"";"";2026-06-01T15-00-46
IT0006775404;"";"";2026-06-03T08-01-00
IT0006775404;"";"";2026-06-03T13-01-05
IT0006775404;"";"";2026-06-03T15-00-57
IT0006775404;"";"";2026-06-02T08-00-29
IT0006775404;"";"";2026-06-02T13-00-56
IT0006775404;"";"";2026-06-02T15-00-38
IT0006775404;"";"";2026-05-29T08-00-30
IT0006775404;"";"";2026-05-29T15-00-30
IT0006775404;"";"";2026-06-01T13-00-55
IT0006775404;"";"";2026-06-01T15-00-46
IT0006775404;"";"";2026-06-02T08-00-29
IT0006775404;"";"";2026-06-02T13-00-56
IT0006775404;"";"";2026-06-02T15-00-38
IT0006775404;"";"";2026-06-03T08-01-00
IT0006775404;"";"";2026-06-04T08-00-23
IT0006775404;"";"";2026-06-04T13-01-07
IT0006775404;"";"";2026-06-04T15-01-14
IT0006775891;"";"";2026-06-01T13-00-55
IT0006775891;"";"";2026-06-01T15-00-46
IT0006775891;"";"";2026-06-03T08-01-00
IT0006775891;"";"";2026-06-03T13-01-05
IT0006775891;"";"";2026-06-03T15-00-57
IT0006775891;"";"";2026-06-02T08-00-29
IT0006775891;"";"";2026-06-02T13-00-56
IT0006775891;"";"";2026-06-02T15-00-38
IT0006775891;"";"";2026-05-29T08-00-30
IT0006775891;"";"";2026-05-29T15-00-30
IT0006775891;"";"";2026-06-01T13-00-55
IT0006775891;"";"";2026-06-01T15-00-46
IT0006775891;"";"";2026-06-02T08-00-29
IT0006775891;"";"";2026-06-02T13-00-56
IT0006775891;"";"";2026-06-02T15-00-38
IT0006775891;"";"";2026-06-03T08-01-00
IT0006775891;"";"";2026-06-04T08-00-23
IT0006775891;"";"";2026-06-04T13-01-07
IT0006775891;"";"";2026-06-04T15-01-14
IT0006776154;"";"";2026-06-04T08-00-23
IT0006776154;"";"";2026-06-04T13-01-07
IT0006776154;"";"";2026-06-04T15-01-14
NLBNPIT2EPT9;"";"";2026-06-01T13-00-55
NLBNPIT2EPT9;"";"";2026-06-01T15-00-46
NLBNPIT2EPT9;"";"";2026-06-01T08-00-35
NLBNPIT2EPT9;"";"";2026-06-03T13-01-05
NLBNPIT2EPT9;"";"";2026-06-03T15-00-57
NLBNPIT2EPT9;"";"";2026-06-03T08-01-00
NLBNPIT2EPT9;"";"";2026-06-02T13-00-56
NLBNPIT2EPT9;"";"";2026-06-02T15-00-38
NLBNPIT2EPT9;"";"";2026-06-02T08-00-29
NLBNPIT2EPT9;"";"";2026-05-29T15-00-30
NLBNPIT2EPT9;"";"";2026-06-01T08-00-35
NLBNPIT2EPT9;"";"";2026-06-01T13-00-55
NLBNPIT2EPT9;"";"";2026-06-01T15-00-46
NLBNPIT2EPT9;"";"";2026-06-02T08-00-29
NLBNPIT2EPT9;"";"";2026-06-02T13-00-56
NLBNPIT2EPT9;"";"";2026-06-02T15-00-38
NLBNPIT2EPT9;"";"";2026-06-03T08-01-00
NLBNPIT2EPT9;"";"";2026-05-29T08-00-30
NLBNPIT2EPT9;"";"";2026-06-04T13-01-07
NLBNPIT2EPT9;"";"";2026-06-04T15-01-14
NLBNPIT2EPT9;"";"";2026-06-04T08-00-23
NLBNPIT2QDD3;"";"";2026-06-03T13-01-05
NLBNPIT2QDD3;"";"";2026-06-03T15-00-57
NLBNPIT2QDD3;"";"";2026-06-03T08-01-00
NLBNPIT2QDD3;"";"";2026-06-03T08-01-00
NLBNPIT2QDD3;"";"";2026-06-04T13-01-07
NLBNPIT2QDD3;"";"";2026-06-04T15-01-14
NLBNPIT2QDD3;"";"";2026-06-04T08-00-23
NLBNPIT2TQJ6;"";100.55;2026-06-01T13-00-55
NLBNPIT2TQJ6;"";100.20;2026-06-01T15-00-46
NLBNPIT2TQJ6;"";99.96;2026-06-03T13-01-05
NLBNPIT2TQJ6;"";99.76;2026-06-03T15-00-57
NLBNPIT2TQJ6;"";100.07;2026-06-03T08-01-00
NLBNPIT2TQJ6;"";100.14;2026-06-02T13-00-56
NLBNPIT2TQJ6;"";100.32;2026-06-02T15-00-38
NLBNPIT2TQJ6;"";100.49;2026-06-02T08-00-29
NLBNPIT2TQJ6;"";100.58;2026-05-29T15-00-30
NLBNPIT2TQJ6;"";100.55;2026-06-01T13-00-55
NLBNPIT2TQJ6;"";100.20;2026-06-01T15-00-46
NLBNPIT2TQJ6;"";100.49;2026-06-02T08-00-29
NLBNPIT2TQJ6;"";100.14;2026-06-02T13-00-56
NLBNPIT2TQJ6;"";100.32;2026-06-02T15-00-38
NLBNPIT2TQJ6;"";100.07;2026-06-03T08-01-00
NLBNPIT2TQJ6;"";100.82;2026-05-29T08-00-30
NLBNPIT2TQJ6;"";98.50;2026-06-04T13-01-07
NLBNPIT2TQJ6;"";98.57;2026-06-04T15-01-14
NLBNPIT2TQJ6;"";98.68;2026-06-04T08-00-23
NLBNPIT300C5;"";98.26;2026-06-01T13-00-55
NLBNPIT300C5;"";97.81;2026-06-01T15-00-46
NLBNPIT300C5;"";98.15;2026-06-01T08-00-35
NLBNPIT300C5;"";97.27;2026-06-03T13-01-05
NLBNPIT300C5;"";96.85;2026-06-03T15-00-57
NLBNPIT300C5;"";97.40;2026-06-03T08-01-00
NLBNPIT300C5;"";97.69;2026-06-02T13-00-56
NLBNPIT300C5;"";97.80;2026-06-02T15-00-38
NLBNPIT300C5;"";98.15;2026-06-02T08-00-29
NLBNPIT300C5;"";98.22;2026-05-29T15-00-30
NLBNPIT300C5;"";98.15;2026-06-01T08-00-35
NLBNPIT300C5;"";98.26;2026-06-01T13-00-55
NLBNPIT300C5;"";97.81;2026-06-01T15-00-46
NLBNPIT300C5;"";98.15;2026-06-02T08-00-29
NLBNPIT300C5;"";97.69;2026-06-02T13-00-56
NLBNPIT300C5;"";97.80;2026-06-02T15-00-38
NLBNPIT300C5;"";97.40;2026-06-03T08-01-00
NLBNPIT300C5;"";98.54;2026-05-29T08-00-30
NLBNPIT300C5;"";96.87;2026-06-04T13-01-07
NLBNPIT300C5;"";96.91;2026-06-04T15-01-14
NLBNPIT300C5;"";97.11;2026-06-04T08-00-23
XS3236768365;"";"";2026-06-01T13-00-55
XS3236768365;"";"";2026-06-01T15-00-46
XS3236768365;"";"";2026-06-01T08-00-35
XS3236768365;"";"";2026-06-03T13-01-05
XS3236768365;"";"";2026-06-03T15-00-57
XS3236768365;"";"";2026-06-03T08-01-00
XS3236768365;"";"";2026-06-02T13-00-56
XS3236768365;"";"";2026-06-02T15-00-38
XS3236768365;"";"";2026-06-02T08-00-29
XS3236768365;"";"";2026-05-29T15-00-30
XS3236768365;"";"";2026-06-01T08-00-35
XS3236768365;"";"";2026-06-01T13-00-55
XS3236768365;"";"";2026-06-01T15-00-46
XS3236768365;"";"";2026-06-02T08-00-29
XS3236768365;"";"";2026-06-02T13-00-56
XS3236768365;"";"";2026-06-02T15-00-38
XS3236768365;"";"";2026-06-03T08-01-00
XS3236768365;"";"";2026-05-29T08-00-30
XS3236768365;"";"";2026-06-04T13-01-07
XS3236768365;"";"";2026-06-04T15-01-14
XS3236768365;"";"";2026-06-04T08-00-23
XS3266629172;"";"";2026-06-01T13-00-55
XS3266629172;"";"";2026-06-01T15-00-46
XS3266629172;"";"";2026-06-01T08-00-35
XS3266629172;"";"";2026-06-03T13-01-05
XS3266629172;"";"";2026-06-03T15-00-57
XS3266629172;"";"";2026-06-03T08-01-00
XS3266629172;"";"";2026-06-02T13-00-56
XS3266629172;"";"";2026-06-02T15-00-38
XS3266629172;"";"";2026-06-02T08-00-29
XS3266629172;"";"";2026-05-29T15-00-30
XS3266629172;"";"";2026-06-01T08-00-35
XS3266629172;"";"";2026-06-01T13-00-55
XS3266629172;"";"";2026-06-01T15-00-46
XS3266629172;"";"";2026-06-02T08-00-29
XS3266629172;"";"";2026-06-02T13-00-56
XS3266629172;"";"";2026-06-02T15-00-38
XS3266629172;"";"";2026-06-03T08-01-00
XS3266629172;"";"";2026-05-29T08-00-30
XS3266629172;"";"";2026-06-04T13-01-07
XS3266629172;"";"";2026-06-04T15-01-14
XS3266629172;"";"";2026-06-04T08-00-23
XS3287393642;"";"";2026-06-01T13-00-55
XS3287393642;"";"";2026-06-01T15-00-46
XS3287393642;"";"";2026-06-01T08-00-35
XS3287393642;"";"";2026-06-03T13-01-05
XS3287393642;"";"";2026-06-03T15-00-57
XS3287393642;"";"";2026-06-03T08-01-00
XS3287393642;"";"";2026-06-02T13-00-56
XS3287393642;"";"";2026-06-02T15-00-38
XS3287393642;"";"";2026-06-02T08-00-29
XS3287393642;"";"";2026-05-29T15-00-30
XS3287393642;"";"";2026-06-01T08-00-35
XS3287393642;"";"";2026-06-01T13-00-55
XS3287393642;"";"";2026-06-01T15-00-46
XS3287393642;"";"";2026-06-02T08-00-29
XS3287393642;"";"";2026-06-02T13-00-56
XS3287393642;"";"";2026-06-02T15-00-38
XS3287393642;"";"";2026-06-03T08-01-00
XS3287393642;"";"";2026-05-29T08-00-30
XS3287393642;"";"";2026-06-04T13-01-07
XS3287393642;"";"";2026-06-04T15-01-14
XS3287393642;"";"";2026-06-04T08-00-23
XS3304607255;"";"";2026-06-01T13-00-55
XS3304607255;"";"";2026-06-01T15-00-46
XS3304607255;"";"";2026-06-01T08-00-35
XS3304607255;"";"";2026-06-03T13-01-05
XS3304607255;"";"";2026-06-03T15-00-57
XS3304607255;"";"";2026-06-03T08-01-00
XS3304607255;"";"";2026-06-02T13-00-56
XS3304607255;"";"";2026-06-02T15-00-38
XS3304607255;"";"";2026-06-02T08-00-29
XS3304607255;"";"";2026-05-29T15-00-30
XS3304607255;"";"";2026-06-01T08-00-35
XS3304607255;"";"";2026-06-01T13-00-55
XS3304607255;"";"";2026-06-01T15-00-46
XS3304607255;"";"";2026-06-02T08-00-29
XS3304607255;"";"";2026-06-02T13-00-56
XS3304607255;"";"";2026-06-02T15-00-38
XS3304607255;"";"";2026-06-03T08-01-00
XS3304607255;"";"";2026-05-29T08-00-30
XS3304607255;"";"";2026-06-04T13-01-07
XS3304607255;"";"";2026-06-04T15-01-14
XS3304607255;"";"";2026-06-04T08-00-23
XS3312413183;"";"";2026-06-01T13-00-55
XS3312413183;"";"";2026-06-01T15-00-46
XS3312413183;"";"";2026-06-01T08-00-35
XS3312413183;"";"";2026-06-03T13-01-05
XS3312413183;"";"";2026-06-03T15-00-57
XS3312413183;"";"";2026-06-03T08-01-00
XS3312413183;"";"";2026-06-02T13-00-56
XS3312413183;"";"";2026-06-02T15-00-38
XS3312413183;"";"";2026-06-02T08-00-29
XS3312413183;"";"";2026-05-29T15-00-30
XS3312413183;"";"";2026-06-01T08-00-35
XS3312413183;"";"";2026-06-01T13-00-55
XS3312413183;"";"";2026-06-01T15-00-46
XS3312413183;"";"";2026-06-02T08-00-29
XS3312413183;"";"";2026-06-02T13-00-56
XS3312413183;"";"";2026-06-02T15-00-38
XS3312413183;"";"";2026-06-03T08-01-00
XS3312413183;"";"";2026-05-29T08-00-30
XS3312413183;"";"";2026-06-04T13-01-07
XS3312413183;"";"";2026-06-04T15-01-14
XS3312413183;"";"";2026-06-04T08-00-23
XS3312413340;"";"";2026-06-01T13-00-55
XS3312413340;"";"";2026-06-01T15-00-46
XS3312413340;"";"";2026-06-01T08-00-35
XS3312413340;"";"";2026-06-03T13-01-05
XS3312413340;"";"";2026-06-03T15-00-57
XS3312413340;"";"";2026-06-03T08-01-00
XS3312413340;"";"";2026-06-02T13-00-56
XS3312413340;"";"";2026-06-02T15-00-38
XS3312413340;"";"";2026-06-02T08-00-29
XS3312413340;"";"";2026-05-29T15-00-30
XS3312413340;"";"";2026-06-01T08-00-35
XS3312413340;"";"";2026-06-01T13-00-55
XS3312413340;"";"";2026-06-01T15-00-46
XS3312413340;"";"";2026-06-02T08-00-29
XS3312413340;"";"";2026-06-02T13-00-56
XS3312413340;"";"";2026-06-02T15-00-38
XS3312413340;"";"";2026-06-03T08-01-00
XS3312413340;"";"";2026-05-29T08-00-30
XS3312413340;"";"";2026-06-04T13-01-07
XS3312413340;"";"";2026-06-04T15-01-14
XS3312413340;"";"";2026-06-04T08-00-23
XS3312413423;"";"";2026-06-01T13-00-55
XS3312413423;"";"";2026-06-01T15-00-46
XS3312413423;"";"";2026-06-01T08-00-35
XS3312413423;"";"";2026-06-03T13-01-05
XS3312413423;"";"";2026-06-03T15-00-57
XS3312413423;"";"";2026-06-03T08-01-00
XS3312413423;"";"";2026-06-02T13-00-56
XS3312413423;"";"";2026-06-02T15-00-38
XS3312413423;"";"";2026-06-02T08-00-29
XS3312413423;"";"";2026-05-29T15-00-30
XS3312413423;"";"";2026-06-01T08-00-35
XS3312413423;"";"";2026-06-01T13-00-55
XS3312413423;"";"";2026-06-01T15-00-46
XS3312413423;"";"";2026-06-02T08-00-29
XS3312413423;"";"";2026-06-02T13-00-56
XS3312413423;"";"";2026-06-02T15-00-38
XS3312413423;"";"";2026-06-03T08-01-00
XS3312413423;"";"";2026-05-29T08-00-30
