isin;issuer;name;coupon;next_ex_date;ask;bid;Growth_1D;Growth_3Ds;Growth_1W;Growth_2W;Growth_4W;Growth_1D_Pct;Growth_3Ds_Pct;Growth_1W_Pct;Growth_2W_Pct;Growth_4W_Pct;Last_Update_DT;Par_Value
NLBNPIT303W7;BNP Paribas Issuance B.V.;Maxi Cash Collect Step Down ISP SAN ZURN CS;18% / 1% Quarterly;2026-11-16;88.25;87.25;0.09;1.53;2.28;1.69;-12.64;0.1;1.78;2.68;1.98;-12.65;2026-07-03 15:01:01;100
CH1550421346;Leonteq Securities AG;Certificato Express in EUR su Intesa Sanpaolo (ISP), Micron Technology (MU), UniCredit (UCG) Phoenix Autocallable;EUR 12.50 Monthly;N/A;988.7;969.12;-4.12;-9.18;-10.6;-31.79;-12.34;-0.42;-0.94;-1.08;-3.18;-1.26;2026-07-03 15:01:01;1000
NLBNPIT304Y1;BNP Paribas Issuance B.V.;Memory Cash Collect Callable SX7E SPX;0.78% Monthly;2026-07-08;102.59;101.59;-0.09;0.34;0.79;0.75;N/A;-0.09;0.34;0.78;0.74;N/A;2026-07-03 15:01:01;100
IT0006775891;Marex Financial;14m Wof Memory Phoenix Autocall on ASML Holding NV (ASML NA), Intel Corp (INTC UW), STMicroelectronics NV (STMPA FP) in EUR;24.17 EUR Monthly;2026-07-03;954.17;951.64;-19.83;-39.36;-12.75;-43.36;23.64;-2.04;-3.97;-1.32;-4.36;2.55;2026-07-03 15:01:01;1000
NLBNPIT300T9;BNP Paribas Issuance B.V.;Step Down Memory Cash Collect on Tesla Inc;Not specified Not specified;N/A;97.1;96.1;-0.13;-1.1;1.69;-0.67;-0.37;-0.14;-1.13;1.79;-0.69;-0.38;2026-07-03 15:01:01;100
NLBNPIT302W9;BNP Paribas Issuance B.V.;Prodotto Cash Collect Protection Booster (UniCredit SpA, Intesa Sanpaolo SpA);Variable Variable;N/A;104.55;103.55;-0.14;-0.18;-0.65;-3.32;-2.03;-0.14;-0.17;-0.62;-3.11;-1.92;2026-07-03 15:01:01;100
NLBNPIT305Z5;BNP Paribas Issuance B.V.;Fixed Cash Collect on Space Exploration Technologies Corp;0.97% Monthly;2026-08-03;N/A;995;0;5;N/A;N/A;N/A;0;0.51;N/A;N/A;N/A;2026-07-03 15:01:01;1000
NLBNPIT2TQJ6;BNP Paribas Issuance B.V.;12 Premi Fissi Cash Collect Step Down (BAMI, BPE, BMPS, FBK);1.40% of Notional Amount Monthly;N/A;N/A;100.63;-1.27;-0.97;-0.88;-1.42;1.91;-1.25;-0.95;-0.87;-1.39;1.93;2026-07-03 15:01:01;100
NLBNPIT2SP93;BNP Paribas Issuance B.V.;12 Premi Fissi Cash Collect Step Down 95% (META, GOOGL, AMD, AMZN);0.95% of Notional Amount Monthly;N/A;97.19;96.19;-0.1;1.87;2.42;0.84;-2.07;-0.1;1.98;2.58;0.88;-2.11;2026-07-03 15:01:01;100
NLBNPIT303F2;BNP Paribas Issuance B.V.;Premium Plus Cash Collect (UniCredit, Banca Monte dei Paschi di Siena, FinecoBank, Azimut Holding);Variable See Annex;N/A;104.2;103.2;0.12;1.1;1.31;-1.43;2.95;0.12;1.08;1.29;-1.37;2.94;2026-07-03 15:01:01;100
DE000VG656A7;Vontobel;Memory Express Certificate on Delivery Hero (DHER.DE), Zalando (ZAL.DE), and HelloFresh (HFG.DE);8.50% p.a. Quarterly;N/A;1026;996;-8;-14;-1;-4;N/A;-0.8;-1.39;-0.1;-0.4;N/A;2026-04-03 15:05:36;1000
NLBNPIT21TB7;BNP Paribas Issuance B.V.;Cash Collect Step Down 95% (UiPath Inc, KLA Corp, C3.ai Inc);Not specified Not specified;N/A;53.03;52.03;0.19;2.87;2.37;-3.18;-7.74;0.37;5.84;4.77;-5.76;-12.95;2026-07-03 15:01:01;100
NLBNPIT305N1;BNP Paribas Issuance B.V.;Enjoy Cash Collect Memory Step Down;1.50% Monthly;2026-07-23;99.95;98.95;-0.1;2;1.72;N/A;N/A;-0.1;2.06;1.77;N/A;N/A;2026-07-03 15:01:01;100
NLBNPIT305V4;BNP Paribas Issuance B.V.;Enjoy Cash Collect Memory Step Down on Planet Labs PBC, Intuitive Machines Inc, EchoStar Corp;2.05% Monthly;2026-07-23;102.14;101.14;0.03;0.21;2.2;N/A;N/A;0.03;0.21;2.22;N/A;N/A;2026-07-03 15:01:01;100
DE000VK6PMC6;Vontobel;Vontobel Memory Express Zertifikat auf Allianz, AXA, Zurich Insurance;8.50% p.a. Annual;N/A;922;912;13;38;48;61;80;1.45;4.35;5.56;7.17;9.62;2026-07-03 15:01:01;1000
NLBNPIT30325;BNP Paribas Issuance B.V.;Cash Collect Protection Booster (Poste Italiane SpA, UniCredit SpA, Generali, Eni SpA);Not specified Not specified;N/A;99.35;98.35;0.01;-0.25;0.46;-5.48;-7.15;0.01;-0.25;0.47;-5.28;-6.78;2026-07-03 15:01:01;100
NLBNPIT304W5;BNP Paribas Issuance B.V.;Memory Cash Collect Callable SX6E SX7E SX8E SXIE;1% Monthly;2026-07-17;102.45;101.45;0.47;-0.21;0.95;0.34;N/A;0.47;-0.21;0.95;0.34;N/A;2026-07-03 15:01:01;100
NLBNPIT304V7;BNP Paribas Issuance B.V.;Cash Collect Memory Callable su Basket Worst Of (Eurostoxx Banks, S&P 500, Nikkei 225, Nasdaq 100);1% Monthly;2026-07-08;101.77;100.77;-0.09;0.13;0.83;-0.39;N/A;-0.09;0.13;0.83;-0.39;N/A;2026-07-03 15:01:01;100
DE000VH68M19;Vontobel Financial Products GmbH;Multi Cash Collect Certificate con Barriera su D-Wave Quantum Inc., IonQ Inc., Rigetti Computing Inc.;3.83 EUR (46.00% p.a.) Monthly;2026-07-23;N/A;73.1;-1;-0.9;1.8;-5.2;-12.7;-1.35;-1.22;2.52;-6.64;-14.8;2026-07-03 15:01:01;100
NLBNPIT303E5;BNP Paribas Issuance B.V.;Premium Plus Cash Collect (BMPS, SAN);Not specified Not specified;N/A;104.14;103.14;0.06;0.42;0.52;-1.28;2.84;0.06;0.41;0.51;-1.23;2.83;2026-07-03 15:01:01;100
NLBNPIT303I6;BNP Paribas Issuance B.V.;3Y Premium Plus Cash Collect (ISP, UCG, G, ALV);Not specified Not specified;N/A;103.78;102.78;0.11;1.07;1.56;-0.26;3.1;0.11;1.05;1.54;-0.25;3.11;2026-07-03 15:01:01;100
IT0005621674;Mediobanca;Mediobanca Bonus Cap Engie SA (ENGI);N/A N/A;N/A;597.55;591.61;5.5;1.24;2.94;3.9;5.92;0.94;0.21;0.5;0.66;1.01;2026-07-03 15:01:01;1000
NLBNPIT30341;BNP Paribas Issuance B.V.;Cash Collect Protection Booster (UNI, G, SREN, SCR);Conditional and Certain coupons Refer to attachment;N/A;108.05;107.05;0.03;0.1;0.31;0.39;4.14;0.03;0.09;0.29;0.37;4.02;2026-07-03 15:01:01;100
NLBNPIT304D5;BNP Paribas Issuance B.V.;12 Premi Fissi Cash Collect Step Down on BMPS, ISP, BAMI;1.10% of Notional Amount Monthly;N/A;103.27;102.27;0.22;0.89;1.06;-1.24;2.78;0.22;0.88;1.05;-1.2;2.79;2026-07-03 15:01:01;100
NLBNPIT304L8;BNP Paribas Issuance B.V.;12 Premi Fissi Cash Collect Step Down (ENI, ENEL, RACE, ISP);1.05% Monthly;2026-07-30;99.65;98.65;0.11;1.02;1.37;-0.84;-0.15;0.11;1.04;1.41;-0.84;-0.15;2026-07-03 15:01:01;100
NLBNPIT2TQK4;BNP Paribas Issuance B.V.;12 Premi Fissi Cash Collect Step Down (Rheinmetall AG, Leonardo SpA, The Boeing Co, Dassault Systemes SE);Not specified Not specified;2026-07-08;66.6;65.6;-0.18;6.03;8.04;0.65;-4.87;-0.27;10.12;13.97;1;-6.91;2026-07-03 15:01:01;100
CH1550420314;Leonteq Securities AG;Phoenix Autocallable on Aegon, Allianz, Generali, Swiss Re;EUR 10.00 Monthly;N/A;1006.24;996.24;-0.95;-4.27;-0.74;-3.53;14.44;-0.1;-0.43;-0.07;-0.35;1.47;2026-07-03 15:01:01;1000
NLBNPIT300C5;BNP Paribas Issuance B.V.;Step Down Memory Cash Collect on Banca Monte dei Paschi di Siena SpA (BMPS);1.10% of Notional Monthly;N/A;103.54;102.54;0.15;0.27;0.3;-0.85;5.01;0.15;0.26;0.29;-0.82;5.14;2026-07-03 15:01:01;100
CH1550424670;Leonteq Securities AG;Target One Autocallable (Anglogold Ashanti ADR, Colgate-Palmolive, Moderna);EUR 10.00 Monthly;N/A;1030.99;1010.57;-1.92;-13.16;-14.99;-2.75;16.19;-0.19;-1.29;-1.46;-0.27;1.63;2026-07-03 15:01:01;1000
NLBNPIT30630;BNP Paribas Issuance B.V.;Low Barrier Cash Collect Memory Step Down on SpaceX, Alphabet, Apple, Amazon;1.70% Monthly;2026-08-03;N/A;990;0;N/A;N/A;N/A;N/A;0;N/A;N/A;N/A;N/A;2026-07-03 15:01:01;1000
IT0006767823;Marex Financial;N/A;Not specified in provided text Not specified in provided text;N/A;N/A;10;0;-993.08;-997.36;-997.48;-977.24;0;-99;-99.01;-99.01;-98.99;2026-05-05 10:44:16;10
IT0006772583;Marex Financial;12m Wof Memory Phoenix Autocall on Tesla Inc (TSLA), Intel Corp (INTC), Micron Technology Inc (MU), Oracle Corp (ORCL) in EUR;28.01 EUR Mensile;N/A;1024.99;1022.47;4.46;6.53;19.48;15.71;58.44;0.44;0.64;1.94;1.56;6.06;2026-05-28 15:01:05;1000
NLBNPIT2QDD3;BNP Paribas Issuance B.V.;Low Barrier Cash Collect on Oracle Corp, Dell Technologies Inc, Fortinet Inc, Amazon.com Inc;Not specified Not specified;N/A;95.25;94.25;2.19;4.2;4.71;5.07;13.49;2.38;4.66;5.26;5.69;16.7;2026-05-29 13:00:49;100
NLBNPIT303N6;BNP Paribas Issuance B.V.;Premium Plus Cash Collect (Leonardo SpA, Rheinmetall AG, Coherent Corp);not specified not specified;N/A;90.2;89.2;-0.07;0.77;1.71;-10.04;-10.11;-0.08;0.87;1.95;-10.12;-10.18;2026-07-03 15:01:01;100
DE000VY8DKW4;Vontobel Financial Products GmbH;Memory Cash Collect Express Certificate su Leonardo, Rocket Lab Corp, Space Exploration Technologies Corporation, STMicroelectronics (Quanto EUR);3.09% Monthly;2026-07-22;998;988;8;N/A;N/A;N/A;N/A;0.82;N/A;N/A;N/A;N/A;2026-07-03 15:01:01;1000
IT0006771148;Marex Financial;IT0006771148;Not Available Not Available;N/A;N/A;10;0;-998.09;-997.8;-995.09;-999.34;0;-99.01;-99.01;-99.01;-99.01;2026-04-23 11:48:24;10
NLBNPIT304X3;BNP Paribas Issuance B.V.;Memory Cash Collect Callable (SPX, SX5E, FTSEMIB);0.60% Monthly;2026-07-08;101.7;100.7;-0.11;0.3;0.8;0.5;N/A;-0.11;0.3;0.8;0.5;N/A;2026-07-03 15:01:01;100
NLBNPIT303M8;BNP Paribas Issuance B.V.;Premium Plus Cash Collect (Unipol Assicurazioni SpA, Generali G IM, AXA SA CS FP, Zurich Insurance Group AG);Not specified See Annex;N/A;104.04;103.04;0.08;0.54;1.1;0.63;4.36;0.08;0.53;1.08;0.62;4.42;2026-07-03 15:01:01;100
NLBNPIT304G8;BNP Paribas Issuance B.V.;12 Premi Fissi Cash Collect Step Down (BGN, UCG, BMPS, BPE);1.27% of Notional Monthly;N/A;105.07;104.07;0.28;1.04;1.67;-0.59;4.37;0.27;1.01;1.63;-0.56;4.38;2026-07-03 15:01:01;100
NLBNPIT30622;BNP Paribas Issuance B.V.;Fixed Cash Collect Step Down on SpaceX, Planet Labs, AST SpaceMobile (Worst Of);1.70% Monthly;2026-08-03;N/A;990;0;0;N/A;N/A;N/A;0;0;N/A;N/A;N/A;2026-07-03 15:01:01;1000
CH1525083544;Leonteq Securities;EQUITY PROTECTION;null null;N/A;1004.51;994.51;-1.29;-2.01;-1.77;3.83;2.16;-0.13;-0.2;-0.18;0.39;0.22;2026-07-03 15:01:01;1000
IT0006775347;Marex Financial;110m Credit Linked on UniCredit SpA in EUR;5.65% p.a. Annual;N/A;10159.27;10059.26;-10.8;-29.89;50.45;-80.02;-115.79;-0.11;-0.3;0.5;-0.79;-1.14;2026-07-03 13:00:55;10000
NLBNPIT30374;BNP Paribas Issuance B.V.;Cash Collect Protection Booster (The Boeing Co, Rheinmetall AG, Leonardo SpA, Thales SA);Variable Not specified;N/A;89.68;88.68;-0.05;6.16;8.69;-1.74;-1.25;-0.06;7.46;10.86;-1.92;-1.39;2026-07-03 15:01:01;100
NLBNPIT304Q7;BNP Paribas Issuance B.V.;12 Premi Fissi Cash Collect Step Down;1.60% Monthly;2026-07-21;98.53;97.53;-0.12;1.63;1.21;-2.16;-1.77;-0.12;1.7;1.26;-2.17;-1.78;2026-07-03 15:01:01;100
CH1316652309;EFG International Finance (Guernsey) Ltd.;Certificato Express in EUR su Bayer e Pfizer (BAYN GY, PFE UN);EUR 10.00 Monthly;N/A;1024.15;1003.87;-4.86;-0.99;-3.72;-3.59;20.38;-0.48;-0.1;-0.37;-0.36;2.07;2026-07-03 15:01:01;1000
DE000VH30021;Vontobel;Memory Express Zertifikat auf Allianz, AXA, Zurich Insurance (ALV, CS, ZURN);8.5% p.a. Quarterly;N/A;1015;1005;-34;0;39;83;48;-3.27;0;4.04;9;5.02;2026-04-20 15:00:51;1000
IT0006776154;Marex Financial;12m Wof Memory Phoenix Autocall on Stellantis NV (STLAM IM Equity), STMicroelectronics NV (STMPA FP Equity), Banca Monte dei Paschi di Sien (BMPS IM Equity), Prysmian SpA (PRY IM Equity) in EUR;16.84 EUR Mensile;2026-07-06;977.79;975;2.2;8.37;16.92;-22;-3.1;0.23;0.87;1.77;-2.21;-0.32;2026-07-03 13:00:55;1000
IT0006771353;Marex Financial;IT0006771353;Not specified Not specified;N/A;1026.8;1016.8;-5.28;-4.77;1.8;47.94;37.22;-0.52;-0.47;0.18;4.95;3.8;2026-04-23 11:48:24;1000
IT0005710725;N/A;Phoenix Autocallable Worst of MU, SMCI, SNDK;32.00 EUR Monthly;2026-07-06;895;890;-8;-2;-9;-32;-79.4;-0.89;-0.22;-1;-3.47;-8.19;2026-07-03 15:01:01;1000
IT0006775404;Marex Financial;60m Wof Memory Phoenix Autocall on EURO STOXX 50 Price EUR, S&P 500 INDEX, Nikkei 225, iShares China Large-Cap ETF in EUR;6.50 EUR Monthly;N/A;980.21;970.2;-1.82;-6.04;-2.36;-25.7;-32.8;-0.19;-0.62;-0.24;-2.58;-3.27;2026-07-03 13:00:55;1000
CH1390871320;Leonteq Securities AG;5.30% p.a. Reverse Convertible in EUR su 2.15% BTPS Italia (03/01/72);EUR 530.00 Annual;N/A;9627.68;9343.12;-15.1;-96.44;-77.41;-68.81;90.36;-0.16;-1.02;-0.82;-0.73;0.98;2026-07-03 15:01:01;10000
NLBNPIT300H4;BNP Paribas Issuance B.V.;Step Down Memory Cash Collect on Stellantis NV;Not specified Not specified;N/A;66.05;65.05;-2.06;-0.65;-0.88;-7.6;-13.78;-3.07;-0.99;-1.33;-10.46;-17.48;2026-07-03 15:01:01;100
NLBNPIT304Z8;BNP Paribas Issuance B.V.;EURO STOXX 50, FTSE MIB Index, Kospi 200, Nikkei 225 Memory Cash Collect;1.30% Monthly;2026-07-08;99.69;98.69;1.21;-0.79;0.1;-1.8;N/A;1.24;-0.79;0.1;-1.79;N/A;2026-07-03 15:01:01;100
NLBNPIT30614;BNP Paribas Issuance B.V.;Fixed Cash Collect Step Down on SpaceX and Tesla (Worst Of);1.09% Monthly;2026-08-03;N/A;990;0;0;N/A;N/A;N/A;0;0;N/A;N/A;N/A;2026-07-03 15:01:01;1000
NLBNPIT2EPV5;BNP Paribas Issuance B.V.;12 Premi Fissi Cash Collect Step Down 95% (NVIDIA, MSFT, AMZN, META);0.94% of Notional Monthly;N/A;95.04;94.04;-0.2;2.39;2.76;0.75;-2.95;-0.21;2.61;3.02;0.8;-3.04;2026-07-03 15:01:01;100
NLBNPIT303A3;BNP Paribas Issuance B.V.;Cash Collect Protection Booster (NVIDIA, Intel, Tesla, Meta);Variable Monthly/Periodic;N/A;111.42;110.42;-0.25;0.68;2.05;-0.91;-0.09;-0.23;0.62;1.89;-0.82;-0.08;2026-07-03 15:01:01;100
NLBNPIT303V9;BNP Paribas Issuance B.V.;Maxi Cash Collect Step Down BAMI BPE ISP FBK;19% then 1% Quarterly;2026-11-16;85.3;84.3;0.51;1.66;2.32;-0.63;-14.87;0.61;2.01;2.83;-0.74;-14.99;2026-07-03 15:01:01;100
DE000VJ6U7J7;Vontobel;Memory Express Zertifikat auf Allianz, AXA, Zurich Insurance;8.50% p.a. Quarterly;N/A;101.7;100.7;0;-0.1;-0.3;2.5;1.1;0;-0.1;-0.3;2.55;1.1;2026-06-25 15:00:30;100
NLBNPIT30507;BNP Paribas Issuance B.V.;Memory Cash Collect Callable-EWY, MCHI, SPX, SX5E;1.40% Monthly;2026-07-08;95.19;94.19;-0.09;-2.33;-1.58;-5.34;N/A;-0.1;-2.41;-1.65;-5.37;N/A;2026-07-03 15:01:01;100
NLBNPIT300U7;BNP Paribas Issuance B.V.;Step Down Memory Cash Collect on Palantir Technologies Inc;Not specified Not specified;N/A;89.54;88.54;-0.35;4.5;6.29;-0.38;-3.35;-0.39;5.35;7.65;-0.43;-3.65;2026-07-03 15:01:01;100
NLBNPIT2T027;BNP Paribas Issuance B.V.;Cash Collect Booster (Palantir, Tesla, NVIDIA);Not specified Not specified;N/A;94.37;93.37;-0.24;2.91;4.76;0.87;-2.64;-0.26;3.22;5.37;0.94;-2.75;2026-07-03 15:01:01;100
NLBNPIT30150;BNP Paribas Issuance B.V.;6 Premi Fissi Cash Collect Callable (COHR UN, HO FP, LDO IM);Not specified Not specified;N/A;94.62;93.62;-0.05;-0.42;0.87;-5.91;-6.85;-0.05;-0.45;0.94;-5.94;-6.82;2026-07-03 15:01:01;100
NLBNPIT305I1;BNP Paribas Issuance B.V.;Enjoy Cash Collect Memory Step Down;0.85% Monthly;2026-07-23;100.09;99.09;0.06;0.46;0.72;N/A;N/A;0.06;0.47;0.73;N/A;N/A;2026-07-03 15:01:01;100
NLBNPIT304K0;BNP Paribas Issuance B.V.;12 Premi Fissi Cash Collect Step Down (FCT, SRG, ERG, STMMI);1.31% Monthly;2026-07-30;98.6;97.6;0.34;1.22;1.63;-2.8;0.89;0.35;1.27;1.7;-2.79;0.92;2026-07-03 15:01:01;100
NLBNPIT305L5;BNP Paribas Issuance B.V.;Enjoy Cash Collect Memory Step Down;1.10% Monthly;2026-07-23;101.46;100.46;0.18;1.04;1.88;N/A;N/A;0.18;1.05;1.91;N/A;N/A;2026-07-03 15:01:01;100
IT0006770512;Marex Financial;60m Wof Memory Phoenix Autocall on BNP Paribas SA, UniCredit SpA, Banco BPM SpA in EUR;10.20% per annum (8.50 EUR monthly) Monthly;N/A;1012.84;1002.84;4;-8.06;-3.64;13.84;14.28;0.4;-0.8;-0.36;1.4;1.44;2026-06-11 15:00:47;1000
NLBNPIT305D2;BNP Paribas Issuance B.V.;Fast Cash Collect Memory Step Down on Intel Corp, Infineon Technologies AG, Micron Technology Inc;2.15% Monthly;2026-07-22;95.66;94.66;-0.03;-3.47;-2.56;N/A;N/A;-0.03;-3.54;-2.63;N/A;N/A;2026-07-03 15:01:01;100
IT0006772062;Marex Financial;48m Wof Memory Phoenix Autocall on Banco BPM SpA, Societe Generale SA, Banca Monte dei Paschi di Sien, Commerzbank AG in EUR;10.20% p.a. Monthly;N/A;1006;1004.6;0.1;0.47;22.07;17.6;67.4;0.01;0.05;2.25;1.78;7.19;2026-05-28 15:01:05;1000
NLBNPIT302Z2;BNP Paribas Issuance B.V.;Cash Collect Protection Booster (ISP, SAN, GS, MS);Variable Conditional;N/A;106.15;105.15;0;0.4;0.45;-0.91;0.16;0;0.38;0.43;-0.86;0.15;2026-07-03 15:01:01;100
NLBNPIT30549;BNP Paribas Issuance B.V.;Fast Low Barrier Cash Collect on AST SpaceMobile, EchoStar Corp, Rocket Lab Corp;2% Monthly;2026-07-10;98.98;97.98;0.1;0.45;5.6;N/A;N/A;0.1;0.46;6.06;N/A;N/A;2026-07-03 15:01:01;100
NLBNPIT304S3;BNP Paribas Issuance B.V.;12 Premi Fissi Cash Collect Step Down (Bayer AG, Eli Lilly and Co, Merck and Co Inc);1.15% of Notional Amount per month Monthly;N/A;106.88;105.88;-0.08;0.93;1.25;6.29;7.56;-0.08;0.89;1.19;6.32;7.69;2026-07-03 15:01:01;100
CH1550424647;Leonteq Securities AG;Twin-Win Certificate in EUR on Ferrari, Hermès, Kering (RACE, RMS, KER);EUR 7.50 Monthly;2026-07-23;995.74;985.74;-2.39;10.07;-2.13;-14.94;9.38;-0.24;1.03;-0.22;-1.49;0.96;2026-07-03 15:01:01;1000
NLBNPIT303S5;BNP Paribas Issuance B.V.;Premium Plus Cash Collect on Meta Platforms Inc, Advanced Micro Devices Inc, Dell Technologies Inc;Variable Variable;N/A;103.03;102.03;-0.16;0.19;1.41;-1.38;-3.88;-0.16;0.19;1.4;-1.33;-3.66;2026-07-03 15:01:01;100
NLBNPIT30382;BNP Paribas Issuance B.V.;Cash Collect Protection Booster (BP, TTE, EQNR, REP);See Annex See Annex;N/A;88.5;87.5;-0.07;0.51;1.27;-1.41;-5.4;-0.08;0.59;1.47;-1.59;-5.81;2026-07-03 15:01:01;100
NLBNPIT305C4;BNP Paribas Issuance B.V.;Fast Cash Collect on Stellantis NV, Siemens Energy AG, Banco BPM SpA, STMicroelectronics NV;1.65% Monthly;2026-07-22;98.28;97.28;-0.01;0.09;1.26;N/A;N/A;-0.01;0.09;1.31;N/A;N/A;2026-07-03 15:01:01;100
NLBNPIT304E3;BNP Paribas Issuance B.V.;12 Premi Fissi Cash Collect Step Down-Intesa Sanpaolo SpA, Banco BPM SpA;0.90% per month Monthly;2026-07-30;102.21;101.21;0.2;0.97;1.18;-0.99;2;0.2;0.97;1.18;-0.97;2.02;2026-07-03 15:01:01;100
NLBNPIT302Y5;BNP Paribas Issuance B.V.;Cash Collect Protection Booster (UniCredit SpA, Banca Monte dei Paschi di Siena SpA, BPER Banca SPA, Banco BPM SpA);Variable Refer to documentation;N/A;111.97;110.97;0.1;0.38;0.79;-0.95;1.67;0.09;0.34;0.72;-0.85;1.53;2026-07-03 15:01:01;100
NLBNPIT303D7;BNP Paribas Issuance B.V.;Premium Plus Cash Collect (BPER, ISP);Not specified Refer to attachment;N/A;101.7;100.7;0.2;0.61;1.15;-0.8;1.59;0.2;0.61;1.16;-0.79;1.6;2026-07-03 15:01:01;100
NLBNPIT30358;BNP Paribas Issuance B.V.;Cash Collect Protection Booster (A2A, Engie, Veolia, E.ON);Variable Periodic;N/A;107.6;106.6;1.01;1.78;1.76;1.91;3.53;0.96;1.7;1.68;1.82;3.42;2026-07-03 15:01:01;100
NLBNPIT303O4;BNP Paribas Issuance B.V.;Premium Plus Cash Collect (Siemens Energy AG, Stellantis NV, STMicroelectronics NV, Banca Monte dei Paschi di Siena SpA);Refer to attachment Refer to attachment;N/A;97.81;96.81;-0.58;0.05;1.45;-4.94;-1.97;-0.6;0.05;1.52;-4.86;-1.99;2026-07-03 15:01:01;100
NLBNPIT2HHH4;BNP Paribas Issuance B.V.;12 Premi Fissi Cash Collect Step Down 95% (Leonardo SpA, ERG SpA, Ferrari NV, Moncler SpA);Not specified Not specified;N/A;95.98;94.98;-0.14;1.84;1.79;1.19;1.43;-0.15;1.98;1.92;1.27;1.53;2026-07-03 15:01:01;100
NLBNPIT303G0;BNP Paribas Issuance B.V.;3Y Premium Plus Cash Collect (UniCredit SpA, Banca Monte dei Paschi di Siena SpA, Banco BPM SpA, BPER Banca SPA);Conditional Not specified;N/A;102.52;101.52;0.38;0.82;0.92;-2.62;1.65;0.38;0.81;0.91;-2.52;1.65;2026-07-03 15:01:01;100
CH1550421528;Leonteq Securities AG;Express Certificate in EUR on Intel and Micron Technology (INTC, MU);EUR 20.00 Monthly;N/A;1032.1;1011.66;-5.01;-5.23;-3.72;-21.44;-22.12;-0.49;-0.51;-0.37;-2.08;-2.14;2026-07-03 15:01:01;1000
CH1550422195;Leonteq Securities AG;Phoenix Autocallable Express on A2A, Eni, Ferrari, Intesa Sanpaolo;EUR 10.00 Monthly;N/A;997.86;987.86;-2.12;5.13;1.05;4.4;6.48;-0.21;0.52;0.11;0.45;0.66;2026-07-03 15:01:01;1000
