stock_google_finance_ticker;stock_name;stock_exchange;stock_isin;stock_industry;stock_sector
MRK;Merck and Co Inc;NYSE;US58933Y1055;Pharmaceuticals;Healthcare
LLY;Eli Lilly and Co;NYSE;US5324571083;Pharmaceuticals;Healthcare
^SPX;S&P 500 Index;NYSE;US78378X1072;Index;Index
FCT.MI;Fincantieri SpA;BIT;IT0005599938;Shipbuilding;Industrials
ENR.DE;Siemens Energy AG;Xetra;DE000ENER6Y0;Energy Equipment and Services;Industrials
NASDAQ;Microsoft;NASDAQ;US5949181045;Software;Information Technology
DELL;Dell;NYSE;US24703L2025;Technology Hardware, Storage and Peripherals;Information Technology
FTNT;Fortinet;NASDAQ;US34959E1091;Software;Information Technology
ORCL;Oracle;NYSE;US68389X1054;Software;Information Technology
COHR;Coherent;NYSE;US1924791031;Electronic Equipment, Instruments and Components;Information Technology
NVDA;NVIDIA Corporation;NASDAQ;US67066G1040;Semiconductors;Information Technology
MU;Micron Technology Inc;UW;N/A;N/A;N/A
INTC UW;Intel Corp;Not;Not specified;Not specified;Not specified
ASML NA;ASML Holding NV;Not;Not specified;Not specified;Not specified
STMPA FP;STMicroelectronics NV;Not;Not specified;Not specified;Not specified
ASML;ASML Holding N.V.;NASDAQ;US04583N1000;Semiconductor Equipment;Technology
SNDK;Sandisk Corp;NASDAQ;US80004C1018;Semiconductors;Technology
SMCI;Super Micro Computer Inc;NASDAQ;US86800U1043;Computer Hardware;Technology
PATH;UiPath;NYSE;US90364P1057;Software;Technology
KLAC;KLA;NASDAQ;US4824801009;Semiconductors;Technology
PLTR;Palantir Technologies Inc;Not;US69608A1088;Software;Technology
DSYPA.PA;Dassault Systemes SE;EPA;FR0014003TT8;Software;Technology
SX8E;ESTX Technology (EUR) Pr;STOXX;EU0009658582;Technology;Technology
HPQ;HP INC.;Not;Not specified;Hardware;Technology
ENEL.MI;ENEL SPA;BIT;IT0003128367;Electric Utilities;Utilities
ENGIPA.PA;Engie SA;EPA;FR0010208488;Multi-Utilities;Utilities
ERG.MI;Erg;BIT;IT0001157057;Renewable Energy;Utilities
VIEPA.PA;Veolia Environnement SA;EPA;FR0000124141;Environmental Services;Utilities
A2A.MI;A2A SpA;BIT;IT0001233417;Electric Utilities;Utilities
EOAN.DE;E.ON SE;XETRA;DE000ENAG999;Electric Utilities;Utilities
ELE.MC;Endesa SA;BME;ES0130670112;Electric Utilities;Utilities
SX6E;EURO STOXX Utilities;STOXX;EU0009658962;Utilities;Utilities
EWZ;iShares MSCI Brazil ETF;NYSE;US4642840076;Emerging Markets Equity;ETF
^CAC;CAC 40;N/A;FR0003500008;Equity Index;Multi-Sector
^NDX;Nasdaq-100 Index;N/A;US6311011026;Equity Index;Technology
CFR;Compagnie Financiere Richemont SA;SIX;CH0210483332;Apparel, Accessories and Luxury Goods;Consumer Discretionary
PL;Planet Labs PBC;NYSE;US72703X1063;Space and Satellite Technology;Technology
LUNR;Intuitive Machines Inc;NASDAQ;US46125A1007;Space and Satellite Technology;Industrials
SATS;EchoStar Corp;NASDAQ;US2787681061;Space and Satellite Technology;Communication Services
ASTS;AST SpaceMobile Inc;NASDAQ;US00217D1000;Telecommunications;Communication Services
