ids,labels,parents,values,counts,avgs
Semiconductors|NASDAQ,Semiconductors,NASDAQ,-17.32,3,-5.77
Insurance|XETRA,Insurance,XETRA,1.8,1,1.8
Software|NASDAQ,Software,NASDAQ,-0.89,3,-0.3
Electric Utilities|XETRA,Electric Utilities,XETRA,2.04,1,2.04
Auto Manufacturers|BIT,Auto Manufacturers,BIT,-1.72,2,-0.86
ETF|NYSE,ETF,NYSE,-4.82,1,-4.82
Asset Management|BIT,Asset Management,BIT,-2.13,1,-2.13
Semiconductors|XETRA,Semiconductors,XETRA,-4.33,1,-4.33
Aerospace and Defense|NASDAQ,Aerospace and Defense,NASDAQ,-14.69,2,-7.35
Consumer Electronics|NASDAQ,Consumer Electronics,NASDAQ,1.76,1,1.76
Semiconductors|BIT,Semiconductors,BIT,-6.32,1,-6.32
Oil and Gas|BIT,Oil and Gas,BIT,2.27,1,2.27
Computer Hardware|NASDAQ,Computer Hardware,NASDAQ,-8.22,1,-8.22
Sovereign Debt|MOT,Sovereign Debt,MOT,0,1,0
Electronic Equipment Instruments and Components|NYSE,Electronic Equipment Instruments and Components,NYSE,-7.49,1,-7.49
Commodities|NYSE,Commodities,NYSE,-5.47,2,-2.74
Automotive|XETRA,Automotive,XETRA,0.04,1,0.04
Automotive|NASDAQ,Automotive,NASDAQ,-0.86,1,-0.86
Banks|XETRA,Banks,XETRA,-5.81,2,-2.91
Restaurants|XETRA,Restaurants,XETRA,-0.03,1,-0.03
Quantum-Computing|NASDAQ,Quantum-Computing,NASDAQ,-7.54,1,-7.54
Internet Retail|XETRA,Internet Retail,XETRA,-1.25,1,-1.25
Pharmaceuticals|NYSE,Pharmaceuticals,NYSE,5.62,3,1.87
Financial Services|BIT,Financial Services,BIT,-1.19,1,-1.19
Quantum-Computing|NYSE,Quantum-Computing,NYSE,-13.81,2,-6.91
Oil and Gas Exploration and Production|NYSE,Oil and Gas Exploration and Production,NYSE,-0.22,1,-0.22
Emerging Markets Equity|NYSE,Emerging Markets Equity,NYSE,-1.53,1,-1.53
Electric Utilities|BME,Electric Utilities,BME,1.92,1,1.92
Technology Hardware Storage and Peripherals|NYSE,Technology Hardware Storage and Peripherals,NYSE,-5.16,1,-5.16
Oil and Gas Integrated|NYSE,Oil and Gas Integrated,NYSE,1.24,1,1.24
Banks-Regional|VIENNA,Banks-Regional,VIENNA,0,1,0
Aerospace and Defense|BIT,Aerospace and Defense,BIT,1.59,1,1.59
Automotive|NYSE,Automotive,NYSE,0,1,0
Diversified Financial Services|BIT,Diversified Financial Services,BIT,0.43,1,0.43
Multi-line Insurance|BIT,Multi-line Insurance,BIT,-0.12,1,-0.12
Biotechnology|NASDAQ,Biotechnology,NASDAQ,-7.51,1,-7.51
Banks-Diversified|BME,Banks-Diversified,BME,-1.28,1,-1.28
Software|NYSE,Software,NYSE,-8.1,3,-2.7
E-commerce|NASDAQ,E-commerce,NASDAQ,0,1,0
Internet and Media|NASDAQ,Internet and Media,NASDAQ,-4.44,1,-4.44
Banks|BORSA,Banks,BORSA,-1.24,1,-1.24
Technology|Software|NYSE,Technology,Software|NYSE,0.67,1,0.67
Energy|Integrated Oil and Gas|LSE,Energy,Integrated Oil and Gas|LSE,-0.6,1,-0.6
Financials|Banks|XETRA,Financials,Banks|XETRA,-5.81,2,-2.91
Industrials|Electrical Equipment|BIT,Industrials,Electrical Equipment|BIT,-4.95,1,-4.95
Financial Services|Banks-Regional|VIENNA,Financial Services,Banks-Regional|VIENNA,0,1,0
Financials|Banks|BIT,Financials,Banks|BIT,-2.84,2,-1.42
Energy|Oil and Gas Integrated|NYSE,Energy,Oil and Gas Integrated|NYSE,1.24,1,1.24
Utilities|Electric Utilities|XETRA,Utilities,Electric Utilities|XETRA,2.04,1,2.04
Financials|Banking|XETRA,Financials,Banking|XETRA,-3.1,1,-3.1
Technology|Semiconductors|NASDAQ,Technology,Semiconductors|NASDAQ,-14.92,2,-7.46
Automotive|Automotive|NYSE,Automotive,Automotive|NYSE,0,1,0
Consumer Discretionary|Apparel Accessories and Luxury Goods|SIX,Consumer Discretionary,Apparel Accessories and Luxury Goods|SIX,3.12,1,3.12
Technology|Semiconductors|XETRA,Technology,Semiconductors|XETRA,-4.33,1,-4.33
Communication Services|Telecommunications|NASDAQ,Communication Services,Telecommunications|NASDAQ,-17.04,1,-17.04
Communication Services|Space and Satellite Technology|NASDAQ,Communication Services,Space and Satellite Technology|NASDAQ,0,1,0
Consumer Cyclical|Luxury Goods|BIT,Consumer Cyclical,Luxury Goods|BIT,-1.73,1,-1.73
Consumer Discretionary|E-Commerce and Cloud|NASDAQ,Consumer Discretionary,E-Commerce and Cloud|NASDAQ,-1.99,1,-1.99
Utilities|Electric Utilities|BME,Utilities,Electric Utilities|BME,1.92,1,1.92
Financials|Diversified Financial Services|BIT,Financials,Diversified Financial Services|BIT,0.43,1,0.43
Information Technology|Software|NASDAQ,Information Technology,Software|NASDAQ,-0.89,3,-0.3
Consumer Discretionary|E-commerce|NASDAQ,Consumer Discretionary,E-commerce|NASDAQ,0,1,0
Financials|Banks|BME,Financials,Banks|BME,-2.43,1,-2.43
Consumer Cyclical|Auto Manufacturers|BIT,Consumer Cyclical,Auto Manufacturers|BIT,-1.72,2,-0.86
Financial|ETF|NASDAQ,Financial,ETF|NASDAQ,-0.02,1,-0.02
Utilities|Renewable Energy|BIT,Utilities,Renewable Energy|BIT,0.44,1,0.44
Energy|Oil and Gas|BIT,Energy,Oil and Gas|BIT,2.27,1,2.27
Technology|Consumer Electronics|NASDAQ,Technology,Consumer Electronics|NASDAQ,1.76,1,1.76
Technology|Quantum-Computing|NYSE,Technology,Quantum-Computing|NYSE,-13.81,2,-6.91
Technology|Space and Satellite Technology|NYSE,Technology,Space and Satellite Technology|NYSE,-11.29,1,-11.29
Technology|Semiconductors|EPA,Technology,Semiconductors|EPA,-6.29,1,-6.29
Energy|Oil and Gas Integrated|EPA,Energy,Oil and Gas Integrated|EPA,1.22,1,1.22
Healthcare|Pharmaceuticals|NYSE,Healthcare,Pharmaceuticals|NYSE,5.62,3,1.87
Communication Services|Internet and Media|NASDAQ,Communication Services,Internet and Media|NASDAQ,-4.44,1,-4.44
Basic Materials|Gold Mining|NYSE,Basic Materials,Gold Mining|NYSE,-3.53,1,-3.53
Industrials|Energy Equipment and Services|XETRA,Industrials,Energy Equipment and Services|XETRA,-1.88,1,-1.88
Industrials|Aerospace and Defense|BIT,Industrials,Aerospace and Defense|BIT,1.59,1,1.59
Financial|ETF|NYSE,Financial,ETF|NYSE,-4.82,1,-4.82
Industrials|Aerospace and Defense|NASDAQ,Industrials,Aerospace and Defense|NASDAQ,-14.69,2,-7.35
Financial Services|Banks-Diversified|BME,Financial Services,Banks-Diversified|BME,-1.28,1,-1.28
Energy|Oil and Gas Exploration and Production|NYSE,Energy,Oil and Gas Exploration and Production|NYSE,-0.22,1,-0.22
Technology|Computer Hardware|NASDAQ,Technology,Computer Hardware|NASDAQ,-8.22,1,-8.22
Financial|Insurance|SIX,Financial,Insurance|SIX,0,1,0
Consumer Cyclical|Travel and Leisure|NYSE,Consumer Cyclical,Travel and Leisure|NYSE,0.61,1,0.61
Utilities|Electric Utilities|BIT,Utilities,Electric Utilities|BIT,3.46,2,1.73
Automotive|Automotive|XETRA,Automotive,Automotive|XETRA,0.04,1,0.04
ETF|Emerging Markets Equity|NYSE,ETF,Emerging Markets Equity|NYSE,-1.53,1,-1.53
Financial|Insurance|BIT,Financial,Insurance|BIT,-2.22,1,-2.22
Financial Services|Banks|BIT,Financial Services,Banks|BIT,-2.2,1,-2.2
Energy|Oil and Gas|OSLO,Energy,Oil and Gas|OSLO,-0.67,1,-0.67
Financials|Financial Services|BIT,Financials,Financial Services|BIT,-1.19,1,-1.19
Financials|Multi-line Insurance|BIT,Financials,Multi-line Insurance|BIT,-0.12,1,-0.12
Technology|Semiconductors|BIT,Technology,Semiconductors|BIT,-6.32,1,-6.32
Financial Services|Insurance|XETRA,Financial Services,Insurance|XETRA,1.8,1,1.8
Technology|Quantum-Computing|NASDAQ,Technology,Quantum-Computing|NASDAQ,-7.54,1,-7.54
Consumer Defensive|Household and Personal Products|NYSE,Consumer Defensive,Household and Personal Products|NYSE,2.84,1,2.84
Financials|Banking|BIT,Financials,Banking|BIT,-4.55,3,-1.52
Energy|Gas Utilities|BIT,Energy,Gas Utilities|BIT,1.76,1,1.76
Consumer Cyclical|Restaurants|XETRA,Consumer Cyclical,Restaurants|XETRA,-0.03,1,-0.03
Financials|Asset Management|BIT,Financials,Asset Management|BIT,-2.13,1,-2.13
Industrials|Space and Satellite Technology|NASDAQ,Industrials,Space and Satellite Technology|NASDAQ,-9.49,1,-9.49
Communication Services|Social Media|NASDAQ,Communication Services,Social Media|NASDAQ,-2.46,1,-2.46
Consumer Defensive|Food and Beverage|XETRA,Consumer Defensive,Food and Beverage|XETRA,3.06,1,3.06
Consumer Cyclical|Internet Retail|XETRA,Consumer Cyclical,Internet Retail|XETRA,-1.25,1,-1.25
Industrials|Shipbuilding|BIT,Industrials,Shipbuilding|BIT,-0.72,1,-0.72
Information Technology|Electronic Equipment Instruments and Components|NYSE,Information Technology,Electronic Equipment Instruments and Components|NYSE,-7.49,1,-7.49
Financials|Banks|BORSA,Financials,Banks|BORSA,-1.24,1,-1.24
Consumer Goods|Beverages|BIT,Consumer Goods,Beverages|BIT,1.06,1,1.06
Financial|Commodities|NYSE,Financial,Commodities|NYSE,-5.47,2,-2.74
Automotive|Automotive|NASDAQ,Automotive,Automotive|NASDAQ,-0.86,1,-0.86
Information Technology|Semiconductors|NASDAQ,Information Technology,Semiconductors|NASDAQ,-2.4,1,-2.4
Energy|Integrated Oil and Gas|BME,Energy,Integrated Oil and Gas|BME,1.41,1,1.41
Information Technology|Technology Hardware Storage and Peripherals|NYSE,Information Technology,Technology Hardware Storage and Peripherals|NYSE,-5.16,1,-5.16
Information Technology|Software|NYSE,Information Technology,Software|NYSE,-8.77,2,-4.39
Healthcare|Biotechnology|NASDAQ,Healthcare,Biotechnology|NASDAQ,-7.51,1,-7.51
Government|Sovereign Debt|MOT,Government,Sovereign Debt|MOT,0,1,0
DBK.DE|Financials|Banks|XETRA,DBK.DE,Financials|Banks|XETRA,-2.71,1,-2.71
STMMI.MI|Technology|Semiconductors|BIT,STMMI.MI,Technology|Semiconductors|BIT,-6.32,1,-6.32
REP.MC|Energy|Integrated Oil and Gas|BME,REP.MC,Energy|Integrated Oil and Gas|BME,1.41,1,1.41
CPR.MI|Consumer Goods|Beverages|BIT,CPR.MI,Consumer Goods|Beverages|BIT,1.06,1,1.06
ZAL.DE|Consumer Cyclical|Internet Retail|XETRA,ZAL.DE,Consumer Cyclical|Internet Retail|XETRA,-1.25,1,-1.25
MSFT|Information Technology|Software|NASDAQ,MSFT,Information Technology|Software|NASDAQ,1.38,1,1.38
BGN.MI|Financials|Banking|BIT,BGN.MI,Financials|Banking|BIT,-1.69,1,-1.69
AI|Information Technology|Software|NYSE,AI,Information Technology|Software|NYSE,-2.52,1,-2.52
EOAN.DE|Utilities|Electric Utilities|XETRA,EOAN.DE,Utilities|Electric Utilities|XETRA,2.04,1,2.04
G.MI|Financials|Multi-line Insurance|BIT,G.MI,Financials|Multi-line Insurance|BIT,-0.12,1,-0.12
RBI|Financial Services|Banks-Regional|VIENNA,RBI,Financial Services|Banks-Regional|VIENNA,0,1,0
LLY|Healthcare|Pharmaceuticals|NYSE,LLY,Healthcare|Pharmaceuticals|NYSE,1.08,1,1.08
ISP.MI|Financials|Banks|BORSA,ISP.MI,Financials|Banks|BORSA,-1.24,1,-1.24
RGTI|Technology|Quantum-Computing|NASDAQ,RGTI,Technology|Quantum-Computing|NASDAQ,-7.54,1,-7.54
GLD|Financial|Commodities|NYSE,GLD,Financial|Commodities|NYSE,-1.98,1,-1.98
PRY.MI|Industrials|Electrical Equipment|BIT,PRY.MI,Industrials|Electrical Equipment|BIT,-4.95,1,-4.95
SREN|Financial|Insurance|SIX,SREN,Financial|Insurance|SIX,0,1,0
META|Communication Services|Social Media|NASDAQ,META,Communication Services|Social Media|NASDAQ,-2.46,1,-2.46
DELL|Information Technology|Technology Hardware Storage and Peripherals|NYSE,DELL,Information Technology|Technology Hardware Storage and Peripherals|NYSE,-5.16,1,-5.16
ERG.MI|Utilities|Renewable Energy|BIT,ERG.MI,Utilities|Renewable Energy|BIT,0.44,1,0.44
BP|Energy|Integrated Oil and Gas|LSE,BP,Energy|Integrated Oil and Gas|LSE,-0.6,1,-0.6
MBG.DE|Automotive|Automotive|XETRA,MBG.DE,Automotive|Automotive|XETRA,0.04,1,0.04
SRG.MI|Energy|Gas Utilities|BIT,SRG.MI,Energy|Gas Utilities|BIT,1.76,1,1.76
TTE.PA|Energy|Oil and Gas Integrated|EPA,TTE.PA,Energy|Oil and Gas Integrated|EPA,1.22,1,1.22
MONC.MI|Consumer Cyclical|Luxury Goods|BIT,MONC.MI,Consumer Cyclical|Luxury Goods|BIT,-1.73,1,-1.73
NVDA|Information Technology|Semiconductors|NASDAQ,NVDA,Information Technology|Semiconductors|NASDAQ,-2.4,1,-2.4
AAPL|Technology|Consumer Electronics|NASDAQ,AAPL,Technology|Consumer Electronics|NASDAQ,1.76,1,1.76
UCG.MI|Financial Services|Banks|BIT,UCG.MI,Financial Services|Banks|BIT,-2.2,1,-2.2
EQNR|Energy|Oil and Gas|OSLO,EQNR,Energy|Oil and Gas|OSLO,-0.67,1,-0.67
AMZN|Consumer Discretionary|E-Commerce and Cloud|NASDAQ,AMZN,Consumer Discretionary|E-Commerce and Cloud|NASDAQ,-1.99,1,-1.99
MOT|Government|Sovereign Debt|MOT,MOT,Government|Sovereign Debt|MOT,0,1,0
SATS|Communication Services|Space and Satellite Technology|NASDAQ,SATS,Communication Services|Space and Satellite Technology|NASDAQ,0,1,0
FBK.MI|Financials|Banks|BIT,FBK.MI,Financials|Banks|BIT,-1.93,1,-1.93
BPE.MI|Financials|Banking|BIT,BPE.MI,Financials|Banking|BIT,-1.45,1,-1.45
SNDK|Technology|Semiconductors|NASDAQ,SNDK,Technology|Semiconductors|NASDAQ,-12.63,1,-12.63
CBK.DE|Financials|Banks|XETRA,CBK.DE,Financials|Banks|XETRA,-3.1,1,-3.1
PL|Technology|Space and Satellite Technology|NYSE,PL,Technology|Space and Satellite Technology|NYSE,-11.29,1,-11.29
FTNT|Information Technology|Software|NASDAQ,FTNT,Information Technology|Software|NASDAQ,-2.27,1,-2.27
OXY|Energy|Oil and Gas Exploration and Production|NYSE,OXY,Energy|Oil and Gas Exploration and Production|NYSE,-0.22,1,-0.22
DHER.DE|Consumer Cyclical|Restaurants|XETRA,DHER.DE,Consumer Cyclical|Restaurants|XETRA,-0.03,1,-0.03
CL|Consumer Defensive|Household and Personal Products|NYSE,CL,Consumer Defensive|Household and Personal Products|NYSE,2.84,1,2.84
CABK.MC|Financial Services|Banks-Diversified|BME,CABK.MC,Financial Services|Banks-Diversified|BME,-1.28,1,-1.28
COHR|Information Technology|Electronic Equipment Instruments and Components|NYSE,COHR,Information Technology|Electronic Equipment Instruments and Components|NYSE,-7.49,1,-7.49
NYSE|Automotive|Automotive|NYSE,NYSE,Automotive|Automotive|NYSE,0,1,0
EWZ|ETF|Emerging Markets Equity|NYSE,EWZ,ETF|Emerging Markets Equity|NYSE,-1.53,1,-1.53
STMPA.PA|Technology|Semiconductors|EPA,STMPA.PA,Technology|Semiconductors|EPA,-6.29,1,-6.29
CFR|Consumer Discretionary|Apparel Accessories and Luxury Goods|SIX,CFR,Consumer Discretionary|Apparel Accessories and Luxury Goods|SIX,3.12,1,3.12
IONQ|Technology|Quantum-Computing|NYSE,IONQ,Technology|Quantum-Computing|NYSE,-6.42,1,-6.42
NASDAQ|Information Technology|Software|NASDAQ,NASDAQ,Information Technology|Software|NASDAQ,0,1,0
ALV|Financial Services|Insurance|XETRA,ALV,Financial Services|Insurance|XETRA,1.8,1,1.8
CVX|Energy|Oil and Gas Integrated|NYSE,CVX,Energy|Oil and Gas Integrated|NYSE,1.24,1,1.24
PFE|Healthcare|Pharmaceuticals|NYSE,PFE,Healthcare|Pharmaceuticals|NYSE,1.29,1,1.29
KLAC|Technology|Semiconductors|NASDAQ,KLAC,Technology|Semiconductors|NASDAQ,-2.29,1,-2.29
ASTS|Communication Services|Telecommunications|NASDAQ,ASTS,Communication Services|Telecommunications|NASDAQ,-17.04,1,-17.04
NASDAQ|Consumer Discretionary|E-commerce|NASDAQ,NASDAQ,Consumer Discretionary|E-commerce|NASDAQ,0,1,0
HFG.DE|Consumer Defensive|Food and Beverage|XETRA,HFG.DE,Consumer Defensive|Food and Beverage|XETRA,3.06,1,3.06
AU|Basic Materials|Gold Mining|NYSE,AU,Basic Materials|Gold Mining|NYSE,-3.53,1,-3.53
QBTS|Technology|Quantum-Computing|NYSE,QBTS,Technology|Quantum-Computing|NYSE,-7.39,1,-7.39
MRK|Healthcare|Pharmaceuticals|NYSE,MRK,Healthcare|Pharmaceuticals|NYSE,3.25,1,3.25
ENEL.MI|Utilities|Electric Utilities|BIT,ENEL.MI,Utilities|Electric Utilities|BIT,2.12,1,2.12
SLV|Financial|Commodities|NYSE,SLV,Financial|Commodities|NYSE,-3.49,1,-3.49
GOOGL|Communication Services|Internet and Media|NASDAQ,GOOGL,Communication Services|Internet and Media|NASDAQ,-4.44,1,-4.44
RCL|Consumer Cyclical|Travel and Leisure|NYSE,RCL,Consumer Cyclical|Travel and Leisure|NYSE,0.61,1,0.61
TSLA|Automotive|Automotive|NASDAQ,TSLA,Automotive|Automotive|NASDAQ,-0.86,1,-0.86
EWY|Financial|ETF|NYSE,EWY,Financial|ETF|NYSE,-4.82,1,-4.82
RKLB|Industrials|Aerospace and Defense|NASDAQ,RKLB,Industrials|Aerospace and Defense|NASDAQ,-11.61,1,-11.61
PATH|Technology|Software|NYSE,PATH,Technology|Software|NYSE,0.67,1,0.67
BMPS.MI|Financials|Banks|BIT,BMPS.MI,Financials|Banks|BIT,-0.91,1,-0.91
MRNA|Healthcare|Biotechnology|NASDAQ,MRNA,Healthcare|Biotechnology|NASDAQ,-7.51,1,-7.51
ENI.MI|Energy|Oil and Gas|BIT,ENI.MI,Energy|Oil and Gas|BIT,2.27,1,2.27
UNI.MI|Financial|Insurance|BIT,UNI.MI,Financial|Insurance|BIT,-2.22,1,-2.22
A2A.MI|Utilities|Electric Utilities|BIT,A2A.MI,Utilities|Electric Utilities|BIT,1.34,1,1.34
BBVA.MC|Financials|Banks|BME,BBVA.MC,Financials|Banks|BME,-2.43,1,-2.43
BAMI.MI|Financials|Banking|BIT,BAMI.MI,Financials|Banking|BIT,-1.41,1,-1.41
LDO.MI|Industrials|Aerospace and Defense|BIT,LDO.MI,Industrials|Aerospace and Defense|BIT,1.59,1,1.59
NEXI.MI|Financials|Financial Services|BIT,NEXI.MI,Financials|Financial Services|BIT,-1.19,1,-1.19
ELE.MC|Utilities|Electric Utilities|BME,ELE.MC,Utilities|Electric Utilities|BME,1.92,1,1.92
IFX.DE|Technology|Semiconductors|XETRA,IFX.DE,Technology|Semiconductors|XETRA,-4.33,1,-4.33
FCT.MI|Industrials|Shipbuilding|BIT,FCT.MI,Industrials|Shipbuilding|BIT,-0.72,1,-0.72
RACE.MI|Consumer Cyclical|Auto Manufacturers|BIT,RACE.MI,Consumer Cyclical|Auto Manufacturers|BIT,-0.22,1,-0.22
ENR.DE|Industrials|Energy Equipment and Services|XETRA,ENR.DE,Industrials|Energy Equipment and Services|XETRA,-1.88,1,-1.88
CBK.DE|Financials|Banking|XETRA,CBK.DE,Financials|Banking|XETRA,-3.1,1,-3.1
MCHI|Financial|ETF|NASDAQ,MCHI,Financial|ETF|NASDAQ,-0.02,1,-0.02
SMCI|Technology|Computer Hardware|NASDAQ,SMCI,Technology|Computer Hardware|NASDAQ,-8.22,1,-8.22
PST.MI|Financials|Diversified Financial Services|BIT,PST.MI,Financials|Diversified Financial Services|BIT,0.43,1,0.43
ORCL|Information Technology|Software|NYSE,ORCL,Information Technology|Software|NYSE,-6.25,1,-6.25
AZM.MI|Financials|Asset Management|BIT,AZM.MI,Financials|Asset Management|BIT,-2.13,1,-2.13
SPCX|Industrials|Aerospace and Defense|NASDAQ,SPCX,Industrials|Aerospace and Defense|NASDAQ,-3.08,1,-3.08
LUNR|Industrials|Space and Satellite Technology|NASDAQ,LUNR,Industrials|Space and Satellite Technology|NASDAQ,-9.49,1,-9.49
STLAM.MI|Consumer Cyclical|Auto Manufacturers|BIT,STLAM.MI,Consumer Cyclical|Auto Manufacturers|BIT,-1.5,1,-1.5
